document_id,topic,probabilities
0,4,"[4.65378509e-308 7.76708324e-308 4.38690214e-308 5.16015751e-308
 1.00000000e+000 5.47549282e-308 8.66788848e-308 5.76202946e-308
 8.72264604e-308 1.26348783e-307 8.22439143e-308 1.02789773e-307
 8.53298266e-308 5.01904188e-308 8.37364814e-308 4.28520148e-308
 6.28823663e-308 7.23175988e-308 5.49329399e-308 7.32580554e-308
 8.42289409e-308 8.14752427e-308 1.04164512e-307 3.06849248e-308
 5.61961872e-308 1.28377352e-307 6.04899293e-308 2.83033859e-308
 4.74623432e-308 4.68793959e-308 9.28275220e-308 6.11552175e-308
 5.73881144e-308 9.13688472e-308 8.85364332e-308 1.04385380e-307
 5.43507902e-308 8.95152849e-308 7.30651094e-308 8.32825566e-308
 8.80266521e-308 1.42168982e-307 8.24168077e-308 9.80364254e-308
 3.12171681e-308 8.50317268e-308 6.10264610e-308 7.02534886e-308
 9.09556776e-308 7.09876838e-308 9.63581640e-308]"
1,3,"[0.00585975 0.01482829 0.0059757  0.06302677 0.00786368 0.00707536
 0.01251445 0.02305331 0.00691047 0.0108551  0.01111993 0.00889381
 0.00838848 0.01182378 0.00693656 0.01824357 0.00878807 0.00593837
 0.00486391 0.01586621 0.0106578  0.00631086 0.01136477 0.00466359
 0.00834119 0.008896   0.02592576 0.00803605 0.01715255 0.02175648
 0.00928405 0.00770412 0.05636463 0.0099757  0.00894884 0.00747764
 0.02704138 0.00681957 0.01512169 0.00699747 0.00955804 0.00887884
 0.01013344 0.00938512 0.0103173  0.01536036 0.02231444 0.0057398
 0.01165138 0.01028071 0.00765729]"
2,32,"[0.00724338 0.0288463  0.00728512 0.04047944 0.01099643 0.00857813
 0.01901524 0.02635173 0.00959241 0.01729846 0.01490777 0.01248785
 0.01221533 0.014257   0.00976725 0.01712828 0.01059513 0.00810116
 0.00593227 0.02388938 0.01660532 0.00870737 0.01650255 0.00512964
 0.01119579 0.01261385 0.04276839 0.00744436 0.02138634 0.0232591
 0.01338303 0.01039498 0.18519411 0.01456267 0.01225145 0.01055525
 0.03120043 0.0095706  0.02186362 0.00887337 0.013009   0.01284657
 0.0138082  0.01362331 0.00913285 0.02672059 0.03121406 0.00739501
 0.01810545 0.01461222 0.0106186 ]"
3,1,"[4.93712190e-308 1.00000000e+000 4.55316208e-308 9.93610734e-308
 8.06014405e-308 4.89862052e-308 1.36562515e-307 8.87653086e-308
 6.29627634e-308 1.47737284e-307 8.96068234e-308 7.91899742e-308
 8.40218297e-308 6.16456756e-308 6.66799939e-308 6.32510334e-308
 5.67061352e-308 5.30978589e-308 3.82918726e-308 9.81844635e-308
 1.29098840e-307 5.83370112e-308 1.05607284e-307 3.23985301e-308
 6.57979234e-308 8.15662522e-308 1.44703155e-307 3.56133278e-308
 7.95782874e-308 7.94989719e-308 8.54590370e-308 6.30077288e-308
 1.43031974e-307 1.00465490e-307 6.96295183e-308 7.06302882e-308
 1.02840775e-307 6.85207621e-308 1.15200496e-307 5.40248924e-308
 7.43646826e-308 8.77446632e-308 7.98855608e-308 1.01916268e-307
 4.16280318e-308 1.57201744e-307 1.07152968e-307 4.78931089e-308
 1.12198646e-307 8.52825520e-308 6.94611782e-308]"
4,1,"[4.90679188e-308 1.00000000e+000 4.49681174e-308 9.86691114e-308
 8.01674415e-308 4.82556048e-308 1.41277905e-307 8.88640084e-308
 6.29146110e-308 1.49888719e-307 8.87370489e-308 7.83789326e-308
 8.53641957e-308 6.22058295e-308 6.72901358e-308 6.28538391e-308
 5.60092206e-308 5.32310196e-308 3.82840709e-308 9.96659450e-308
 1.32995141e-307 5.84318846e-308 1.03086623e-307 3.26546284e-308
 6.46542378e-308 8.11376231e-308 1.43497428e-307 3.56179575e-308
 8.13620709e-308 8.01174119e-308 8.59448323e-308 6.21458677e-308
 1.43901570e-307 1.02425962e-307 6.97749689e-308 7.04715693e-308
 1.02452042e-307 6.85583401e-308 1.18960368e-307 5.35519285e-308
 7.37463005e-308 8.71571396e-308 7.96891661e-308 1.03822623e-307
 4.16008883e-308 1.54879537e-307 1.06241481e-307 4.74541655e-308
 1.14856237e-307 8.37331352e-308 6.87666894e-308]"
5,16,"[3.92766723e-308 5.54315128e-308 4.88171191e-308 6.47533547e-308
 6.53247267e-308 1.12317436e-307 5.24348974e-308 8.14186560e-308
 6.24315080e-308 5.95998000e-308 6.68543947e-308 8.44567934e-308
 4.89852257e-308 6.53269093e-308 4.76434362e-308 6.20875487e-308
 1.00000000e+000 4.83814040e-308 4.75507119e-308 7.35617398e-308
 5.25483373e-308 5.15515511e-308 1.02576229e-307 2.54929983e-308
 6.69265549e-308 8.27231386e-308 6.25577179e-308 3.93435078e-308
 4.85779359e-308 5.49641459e-308 6.41006979e-308 6.68972384e-308
 6.27170302e-308 5.30782603e-308 7.64376487e-308 6.77265398e-308
 6.24054552e-308 4.99366604e-308 5.49546369e-308 1.29507903e-307
 1.03434474e-307 8.14722379e-308 7.25121511e-308 5.03446326e-308
 4.38521974e-308 9.02935565e-308 8.27626322e-308 6.37188186e-308
 6.41933433e-308 8.97804828e-308 7.35998114e-308]"
6,26,"[0.00580131 0.01877825 0.00597347 0.02279146 0.00905799 0.00743608
 0.01328606 0.02272487 0.00724096 0.01206166 0.01024266 0.01007342
 0.0087305  0.01247054 0.00725011 0.01271633 0.00977011 0.00619585
 0.0050527  0.0152157  0.01305098 0.00660242 0.01228967 0.00490495
 0.00857755 0.01016581 0.23907334 0.00666774 0.01802028 0.02853292
 0.01010864 0.00820754 0.03827596 0.01095777 0.0096957  0.00795334
 0.06558596 0.0071827  0.01477244 0.00763618 0.00998234 0.00970931
 0.01066104 0.01109533 0.00816816 0.01712439 0.0251258  0.00656754
 0.01223517 0.01085576 0.00886314]"
7,36,"[0.00540677 0.01488674 0.00562785 0.02310939 0.00821653 0.00722778
 0.01161536 0.02696649 0.00667224 0.01036041 0.00933988 0.00913754
 0.00777892 0.01267658 0.00657685 0.01338365 0.00963518 0.0057131
 0.00477849 0.01444283 0.01085711 0.00608563 0.01120321 0.00478522
 0.00793497 0.00925216 0.05563802 0.00695715 0.01850234 0.03550438
 0.00902734 0.00753904 0.03233559 0.00976974 0.00905903 0.00731719
 0.27666896 0.00660326 0.01278103 0.00722359 0.00923336 0.00885819
 0.009505   0.00988356 0.00866738 0.01549434 0.02732554 0.00612099
 0.01070971 0.00993949 0.00806843]"
8,16,"[0.0037406  0.00516097 0.00476917 0.00579776 0.00619597 0.01187667
 0.00480976 0.00686737 0.00614911 0.00581489 0.00705403 0.00831108
 0.00457914 0.00503858 0.00448783 0.00539175 0.02182377 0.00456611
 0.00429179 0.00664025 0.00472259 0.00495591 0.01274196 0.00213217
 0.00689795 0.00799359 0.00532978 0.00323911 0.00404847 0.00442978
 0.00600767 0.00670909 0.00556515 0.00481683 0.00697433 0.00685929
 0.00516243 0.00480407 0.00497792 0.01227928 0.01227637 0.00863361
 0.00695304 0.00443542 0.0036325  0.00969254 0.00725463 0.0055564
 0.00619417 0.01016781 0.00682191]"
9,5,"[0.0039086  0.00472069 0.00542594 0.0049845  0.00574722 0.02808868
 0.00435789 0.00552761 0.00586344 0.00526535 0.00618794 0.00750467
 0.00420373 0.00411824 0.00424144 0.00475006 0.01017735 0.00442032
 0.0042039  0.00552437 0.00426907 0.00479517 0.01042263 0.00208136
 0.00766463 0.0071791  0.00464682 0.00302336 0.00364506 0.0038811
 0.00541516 0.00733499 0.00482329 0.00439647 0.00627936 0.00650431
 0.0044925  0.00466517 0.00435661 0.00924436 0.01028482 0.0077096
 0.0058699  0.00408395 0.00335719 0.00802657 0.00610933 0.00565483
 0.00549441 0.01008082 0.00655197]"
10,3,"[0.00520037 0.01189948 0.00557357 0.13971898 0.00679891 0.00687872
 0.00953947 0.021226   0.00624154 0.00907385 0.01035791 0.00802634
 0.00701401 0.00978013 0.00590597 0.02008207 0.0086433  0.00521434
 0.0043143  0.01466951 0.008397   0.00559428 0.01151288 0.00359018
 0.00802945 0.0078769  0.01827684 0.00682863 0.01155485 0.01445557
 0.00790601 0.00714009 0.04046767 0.00795763 0.00779161 0.00681225
 0.01871826 0.00601446 0.01107757 0.00652887 0.0091037  0.00813989
 0.00885966 0.0073731  0.00881638 0.01686566 0.02642908 0.00509858
 0.00990069 0.01029759 0.00678734]"
11,3,"[4.14937370e-308 9.45755875e-308 4.36029167e-308 1.00000000e+000
 5.33315656e-308 5.25451267e-308 7.68699940e-308 1.54453547e-307
 4.91553679e-308 7.19611177e-308 8.24985566e-308 6.15275887e-308
 5.61225922e-308 7.68404385e-308 4.70973774e-308 1.64598389e-307
 6.51301501e-308 4.13666498e-308 3.42310073e-308 1.13430573e-307
 6.67046212e-308 4.43739129e-308 8.67127264e-308 2.91091032e-308
 6.14954329e-308 6.07052050e-308 1.39919391e-307 5.57506863e-308
 9.37726828e-308 1.15432717e-307 6.18405383e-308 5.48481315e-308
 3.11609332e-307 6.30522260e-308 6.03001182e-308 5.34383403e-308
 1.42529699e-307 4.79437838e-308 9.01019699e-308 5.03474088e-308
 6.98287842e-308 6.32519981e-308 6.90977878e-308 5.85725458e-308
 7.21743295e-308 1.21463612e-307 1.74740468e-307 3.95019416e-308
 7.77531626e-308 7.73882117e-308 5.22988971e-308]"
12,0,"[0.29748436 0.0140662  0.02069537 0.01164923 0.01252013 0.01080874
 0.01279321 0.01117655 0.01447815 0.01526895 0.0151721  0.01283533
 0.01483923 0.00955079 0.01506149 0.01030666 0.01052034 0.01371295
 0.01053474 0.01383708 0.01165678 0.0141821  0.01427153 0.00680168
 0.01525581 0.01258721 0.01106097 0.00801406 0.00971567 0.00954444
 0.01319779 0.0134762  0.01213154 0.01271308 0.01192133 0.01445544
 0.01028389 0.01495795 0.01198933 0.01158826 0.01225213 0.01412892
 0.01239674 0.01221585 0.00868237 0.01523566 0.01218607 0.01130347
 0.01425099 0.01579267 0.01250963]"
13,-1,"[0.00216343 0.00624008 0.0024634  0.02042335 0.00362482 0.00344126
 0.0049513  0.01226692 0.0032912  0.00484664 0.00538683 0.00446261
 0.00363982 0.00511505 0.00306012 0.00832387 0.00451256 0.00270393
 0.0019424  0.00817085 0.00443437 0.0029081  0.0066571  0.00141111
 0.00427269 0.00436569 0.01002999 0.00261567 0.00576256 0.00709234
 0.00427298 0.00383016 0.01816245 0.00421257 0.00426178 0.00363025
 0.0098472  0.00310669 0.00565181 0.00327959 0.00505589 0.00446133
 0.00479304 0.00387319 0.00329194 0.01086822 0.01871837 0.00252209
 0.00536756 0.0057971  0.00370544]"
14,4,"[4.62317129e-308 7.61874319e-308 4.29925015e-308 5.04179168e-308
 1.00000000e+000 5.29130032e-308 8.57007399e-308 5.60766062e-308
 8.48055266e-308 1.21869713e-307 7.95671128e-308 9.64306499e-308
 8.48265950e-308 4.91552892e-308 8.33802994e-308 4.19566713e-308
 6.03244441e-308 7.14915470e-308 5.44632927e-308 7.11299213e-308
 8.28094312e-308 8.06033969e-308 9.77443389e-308 3.09637252e-308
 5.44146147e-308 1.19664467e-307 5.90949561e-308 2.79118676e-308
 4.68063590e-308 4.60774514e-308 8.93143676e-308 5.89903695e-308
 5.61003781e-308 9.00698852e-308 8.47057630e-308 1.00741805e-307
 5.31936635e-308 8.96723833e-308 7.15104390e-308 7.91901675e-308
 8.32653082e-308 1.32640266e-307 7.89263155e-308 9.79859472e-308
 3.07405292e-308 8.14118238e-308 5.92194993e-308 6.80338002e-308
 8.74743292e-308 6.79446189e-308 9.14830232e-308]"
15,3,"[4.10696435e-308 9.17239892e-308 4.32950650e-308 1.00000000e+000
 5.23723203e-308 5.23336544e-308 7.48286883e-308 1.55295239e-307
 4.84568814e-308 7.00237525e-308 8.01329296e-308 6.04735996e-308
 5.50364415e-308 7.69933734e-308 4.63458964e-308 1.72623450e-307
 6.48574538e-308 4.08498345e-308 3.39431155e-308 1.11735740e-307
 6.52177110e-308 4.37838230e-308 8.46941793e-308 2.90321543e-308
 6.08312718e-308 5.96491449e-308 1.37211675e-307 5.69179067e-308
 9.40554333e-308 1.17152510e-307 6.06182095e-308 5.42031739e-308
 2.94240636e-307 6.17734540e-308 5.94226065e-308 5.26224878e-308
 1.42673649e-307 4.72406979e-308 8.76529362e-308 4.98365003e-308
 6.85797417e-308 6.20377349e-308 6.75944215e-308 5.74958717e-308
 7.42461837e-308 1.18312158e-307 1.74359259e-307 3.91509752e-308
 7.58233262e-308 7.61480465e-308 5.15733802e-308]"
16,-1,"[0.00269394 0.01033865 0.00265464 0.00645392 0.00589625 0.00320079
 0.01660924 0.00694915 0.00518098 0.01442756 0.0084115  0.00701424
 0.00930085 0.00555833 0.00620491 0.00436795 0.00403872 0.00446668
 0.00258522 0.01074433 0.01317153 0.00465128 0.00715947 0.00179117
 0.00455085 0.00747627 0.00753031 0.00223621 0.00589506 0.00539884
 0.01065238 0.00470589 0.00860675 0.01240464 0.00721479 0.00555301
 0.00613544 0.00477431 0.0342649  0.0040187  0.00649806 0.00706396
 0.00999453 0.00955471 0.00256057 0.01117311 0.00636593 0.00326781
 0.02107433 0.0060914  0.00563351]"
