Topic,Coefficient,Abs_Coefficient,Importance_Score,Cumulative_Importance
topic_179_lag1,5.633023314941043,5.633023314941043,0.08015490812483367,0.08015490812483367
topic_323_lag1,5.633023314940907,5.633023314940907,0.08015490812483174,0.1603098162496654
topic_160_lag1,3.2721401773191245,3.2721401773191245,0.04656080414027835,0.20687062038994375
topic_39_lag1,2.780977641989026,2.780977641989026,0.03957182403268288,0.24644244442262664
topic_253_lag1,2.3961348291048354,2.3961348291048354,0.03409571669483181,0.28053816111745844
topic_81_lag1,-2.2264515186770892,2.2264515186770892,0.03168121396739263,0.3122193750848511
topic_197_lag1,-1.9919796549871984,1.9919796549871984,0.02834480478867109,0.34056417987352217
topic_34_lag1,1.9918550212360417,1.9918550212360417,0.02834303131707073,0.3689072111905929
topic_333_lag1,1.628146938461271,1.628146938461271,0.023167659881673738,0.39207487107226663
topic_454_lag1,-1.6138172195613951,1.6138172195613951,0.022963755648075467,0.4150386267203421
topic_90_lag1,1.6038464569663107,1.6038464569663107,0.02282187703066877,0.4378605037510109
topic_60_lag1,-1.544372734598456,1.544372734598456,0.021975597779597154,0.45983610153060805
topic_251_lag1,1.4682947226279512,1.4682947226279512,0.02089304837071376,0.4807291499013218
topic_17_lag1,-1.4071986886918928,1.4071986886918928,0.020023684493957333,0.5007528343952792
topic_263_lag1,-1.329724852275446,1.329724852275446,0.01892127324996913,0.5196741076452484
topic_96_lag1,-1.2169855908497782,1.2169855908497782,0.01731705387497253,0.5369911615202209
topic_15_lag1,-1.2111540046456197,1.2111540046456197,0.01723407352316455,0.5542252350433854
topic_43_lag1,-1.1992686123616403,1.1992686123616403,0.017064950749604724,0.5712901857929901
topic_54_lag1,1.1591882364381394,1.1591882364381394,0.01649462844306717,0.5877848142360572
topic_239_lag1,-1.1497004945482472,1.1497004945482472,0.016359622951881054,0.6041444371879383
topic_27_lag1,-1.0912833356989777,1.0912833356989777,0.015528378034421307,0.6196728152223596
topic_178_lag1,-1.079814282516063,1.079814282516063,0.015365179543529745,0.6350379947658894
topic_315_lag1,-1.0507613267623908,1.0507613267623908,0.014951771526379574,0.649989766292269
topic_404_lag1,1.009089478586979,1.009089478586979,0.014358803421129135,0.6643485697133982
topic_18_lag1,0.9812140893433297,0.9812140893433297,0.013962151545422833,0.678310721258821
topic_48_lag1,-0.9787259330740404,0.9787259330740404,0.01392674641286531,0.6922374676716863
topic_2_lag1,0.9299208016655145,0.9299208016655145,0.013232275503487975,0.7054697431751742
topic_331_lag1,0.9202188348240828,0.9202188348240828,0.013094221705851018,0.7185639648810253
topic_465_lag1,0.901237750442798,0.901237750442798,0.012824131029915739,0.731388095910941
topic_332_lag1,0.8808691907257808,0.8808691907257808,0.0125342973222472,0.7439223932331882
topic_14_lag1,-0.866201512334456,0.866201512334456,0.012325584105892694,0.7562479773390809
topic_47_lag1,0.8374348047816988,0.8374348047816988,0.01191624924749981,0.7681642265865807
topic_9_lag1,-0.8309334939410542,0.8309334939410542,0.011823739072414852,0.7799879656589955
topic_94_lag1,0.6978814760399333,0.6978814760399333,0.009930480040022636,0.7899184456990181
topic_395_lag1,-0.6836752547359642,0.6836752547359642,0.009728333111143359,0.7996467788101616
topic_213_lag1,0.6746949984078072,0.6746949984078072,0.009600548867997825,0.8092473276781593
topic_19_lag1,0.6723081184528372,0.6723081184528372,0.009566584843210608,0.8188139125213699
topic_46_lag1,0.6623766773416015,0.6623766773416015,0.009425265749482232,0.8282391782708521
topic_171_lag1,-0.661288205789172,0.661288205789172,0.00940977738161944,0.8376489556524715
topic_4_lag1,-0.6392156358216474,0.6392156358216474,0.009095696519725402,0.846744652172197
topic_61_lag1,0.6371026223682015,0.6371026223682015,0.0090656294687373,0.8558102816409343
topic_458_lag1,-0.6354323849999267,0.6354323849999267,0.009041862884557605,0.864852144525492
topic_277_lag1,-0.6062388076294746,0.6062388076294746,0.008626453897032706,0.8734785984225247
topic_207_lag1,-0.6000664530270053,0.6000664530270053,0.008538624593226603,0.8820172230157514
topic_298_lag1,-0.597079595374977,0.597079595374977,0.00849612320679611,0.8905133462225475
topic_412_lag1,-0.5970795953749701,0.5970795953749701,0.008496123206796012,0.8990094694293436
topic_106_lag1,0.595710809988939,0.595710809988939,0.00847664612304794,0.9074861155523916
topic_243_lag1,0.5941234070397076,0.5941234070397076,0.008454058228335124,0.9159401737807267
topic_249_lag1,0.5431707394164735,0.5431707394164735,0.007729029027546478,0.9236692028082731
topic_467_lag1,-0.5196184290150989,0.5196184290150989,0.0073938922509344494,0.9310630950592076
topic_73_lag1,0.4924359944691033,0.4924359944691033,0.007007100749847544,0.9380701958090552
topic_146_lag1,-0.48326521118874133,0.48326521118874133,0.006876605410103354,0.9449468012191585
topic_287_lag1,-0.40740638221323916,0.40740638221323916,0.005797174857976749,0.9507439760771352
topic_266_lag1,0.39493310257350317,0.39493310257350317,0.005619686761862085,0.9563636628389973
topic_93_lag1,-0.37241972630159836,0.37241972630159836,0.00529933346208647,0.9616629963010838
topic_118_lag1,-0.3205050608053142,0.3205050608053142,0.004560615546229649,0.9662236118473134
topic_262_lag1,-0.28146074745473604,0.28146074745473604,0.004005035855815112,0.9702286477031286
topic_396_lag1,-0.27609437028734146,0.27609437028734146,0.0039286751797151555,0.9741573228828437
topic_1_lag1,-0.1984179213162091,0.1984179213162091,0.002823380867470753,0.9769807037503145
topic_59_lag1,0.19678318351064472,0.19678318351064472,0.0028001194230762917,0.9797808231733909
topic_130_lag1,0.18092767666611248,0.18092767666611248,0.0025745040433165054,0.9823553272167074
topic_136_lag1,-0.17510087492183019,0.17510087492183019,0.0024915917718128936,0.9848469189885203
topic_0_lag1,-0.1589123821700997,0.1589123821700997,0.002261238180739913,0.9871081571692601
topic_148_lag1,-0.13318855770771348,0.13318855770771348,0.0018952019207917334,0.9890033590900519
topic_318_lag1,-0.13268617420969264,0.13268617420969264,0.0018880532723882224,0.99089141236244
topic_99_lag1,0.11556371079532915,0.11556371079532915,0.0016444097784568475,0.9925358221408969
topic_22_lag1,-0.0795094477809596,0.0795094477809596,0.0011313769046606156,0.9936671990455574
topic_5_lag1,-0.07733790411615832,0.07733790411615832,0.0011004770000783758,0.9947676760456359
topic_35_lag1,0.06556401790008201,0.06556401790008201,0.0009329408982094773,0.9957006169438454
topic_184_lag1,-0.06457291388332154,0.06457291388332154,0.0009188380182879834,0.9966194549621333
topic_58_lag1,0.06396260048059525,0.06396260048059525,0.0009101535850826165,0.997529608547216
topic_372_lag1,0.05968009992967799,0.05968009992967799,0.0008492158933651243,0.9983788244405811
topic_16_lag1,-0.04523759721104936,0.04523759721104936,0.0006437068063649306,0.9990225312469461
topic_115_lag1,-0.03805903514397545,0.03805903514397545,0.0005415597086548001,0.9995640909556008
topic_10_lag1,-0.016658940380863532,0.016658940380863532,0.00023704780914779043,0.9998011387647486
topic_428_lag1,-0.013975313562408245,0.013975313562408245,0.00019886123525165972,1.0000000000000002
