Variable,Coefficient,Std_Error,t_statistic,p_value
topic_179_lag1,5.633023314941043,1.1068865359913478,5.089070226964143,3.606340006465279e-07
topic_323_lag1,5.633023314940907,1.1068865359913158,5.089070226964168,3.6063400064648013e-07
topic_160_lag1,3.2721401773191245,1.917177802154035,1.7067484161577129,0.08787269665654308
topic_39_lag1,2.780977641989026,1.9171774503020689,1.4505582889840778,0.14690680961572375
topic_253_lag1,2.3961348291048354,1.917177480688175,1.2498242094126506,0.21136741895175765
topic_81_lag1,-2.2264515186770892,1.917178140622892,-1.161316974933646,0.2455164765601932
topic_197_lag1,-1.9919796549871984,1.9171786062760718,-1.0390162129215599,0.29880032974086784
topic_34_lag1,1.9918550212360417,1.9171788313451978,1.0389510820117114,0.2988306209687707
topic_333_lag1,1.628146938461271,1.1068836758516274,1.4709286747847174,0.14131433189431697
topic_454_lag1,-1.6138172195613951,0.7246925041317113,-2.2268992853665384,0.025956772054864817
topic_90_lag1,1.6038464569663107,1.9171788313451914,0.8365659117156897,0.4028391068834248
topic_60_lag1,-1.544372734598456,1.9171780355618673,-0.8055447673360427,0.4205077729002898
topic_251_lag1,1.4682947226279512,0.8573883909538892,1.7125199479251136,0.08680475874138069
topic_17_lag1,-1.4071986886918928,1.2125299076462133,-1.1605476119129914,0.2458293766155971
topic_263_lag1,-1.329724852275446,1.1068831240311083,-1.2013236297548564,0.2296292368338174
topic_96_lag1,-1.2169855908497782,1.9171780355618677,-0.6347796439745441,0.5255739528189451
topic_15_lag1,-1.2111540046456197,1.9171786062760325,-0.6317377007446324,0.5275600898401596
topic_43_lag1,-1.1992686123616403,1.9171778021539443,-0.6255385447370949,0.5316194395588563
topic_54_lag1,1.1591882364381394,1.9171780107841947,0.6046325536375152,0.5454248827920577
topic_239_lag1,-1.1497004945482472,0.4957344627617091,-2.3191861387714092,0.020387446079046107
topic_27_lag1,-1.0912833356989777,1.3556499647550768,-0.8049890193418315,0.42082840371463903
topic_178_lag1,-1.079814282516063,1.1068830450299885,-0.9755450563314103,0.329292907087933
topic_315_lag1,-1.0507613267623908,0.7826849889184848,-1.3425085975065578,0.1794349460562428
topic_404_lag1,1.009089478586979,0.7826848711696176,1.2892666202670178,0.1973091311389641
topic_18_lag1,0.9812140893433297,1.9171786062760816,0.5118010842240907,0.608791641222614
topic_48_lag1,-0.9787259330740404,1.3558707613978238,-0.7218430848564291,0.47039306217779886
topic_2_lag1,0.9299208016655145,1.156144608517835,0.8043291425781616,0.4212092964378563
topic_331_lag1,0.9202188348240828,1.1068838593913377,0.8313598820838352,0.4057728314456578
topic_465_lag1,0.901237750442798,1.9171775017399428,0.4700857117428489,0.6382950607336514
topic_332_lag1,0.8808691907257808,1.9171786062759184,0.45946120400167195,0.6459042515886902
topic_14_lag1,-0.866201512334456,1.355649401687875,-0.6389568801903919,0.5228528089720196
