fold,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,fold_score
1,50,10,15,3,"(1, 2)",0.7821973898420632,0.06739056456155954,0.9333333333333333,0.3475765213370323,0.6346660852432251,6.0,0.8399937140935892,0.8446754878365668,0.43921568627451013,0.51656837954931,0.8410347380571088,0.6962976011622171
2,50,10,15,3,"(1, 2)",0.4920667592706052,0.0026562658993048048,0.8616766467065868,0.524522541534333,0.38301393389701843,167.0,1.0,1.0,0.5183292808145604,0.8045268518755624,0.5381422453223327,0.7721996756024911
3,30,5,15,3,"(1, 2)",0.4693712632438914,0.0022462053895121203,0.8426086956521739,0.49430656985563487,0.366128146648407,345.0,1.0,1.0,0.5666336462813721,0.5178743090122392,0.6741966932906582,0.7517409297168539
