Split,Documents,Share (%),Start,End,Unique Days
Train,45717,69.90153206323966,2015-01-05 00:00:00+00:00,2025-08-13 23:26:00+00:00,2322
Validation,9649,14.753371456530381,2025-08-14 00:01:11+00:00,2026-01-11 23:11:34+00:00,151
Test,10036,15.345096480229962,2026-01-12 00:00:00+00:00,2026-05-01 14:06:17+00:00,110
