Metric,Mean,Std,Mean ± Std
Coherence C_v,0.4768,0.0081,0.4768 ± 0.0081
Coherence NPMI,-0.0219,0.0084,-0.0219 ± 0.0084
Topic Diversity,0.8318,0.0022,0.8318 ± 0.0022
Intra-topic Similarity,0.5553,0.0041,0.5553 ± 0.0041
Inter-topic Similarity,0.3125,0.0046,0.3125 ± 0.0046
Silhouette (cosine),0.0736,0.0062,0.0736 ± 0.0062
Outlier Ratio,0.5894,0.0156,0.5894 ± 0.0156
Topic Count,529.1111,17.1059,529.1111 ± 17.1059
