seed,cv_test,npmi_test,topic_diversity_test,intra_topic_similarity_test,inter_topic_similarity_test,test_silhouette,test_outlier_ratio,test_topic_count
42,0.4939198078888618,-0.07909665583570318,0.8924050632911392,0.518080022599962,0.26892656087875366,0.22018349170684814,0.7849002849002849,79
7,0.4853721252954057,-0.12822520855233935,0.9,0.5208814731902547,0.26947250962257385,0.22984649240970612,0.7877492877492878,80
123,0.5144089575351487,-0.04708172892869132,0.8766233766233766,0.5344369676378038,0.2693910002708435,0.20966218411922455,0.792022792022792,77
2024,0.5121235650016291,-0.06924640286790895,0.8973684210526316,0.5359465690220103,0.26854947209358215,0.22709298133850098,0.7749287749287749,76
99,0.48497690750210354,-0.12373074131551796,0.8837837837837837,0.530924191698432,0.28475064039230347,0.21584492921829224,0.7606837606837606,74
11,0.4749974873602311,-0.11491287349839245,0.9052631578947369,0.5099594735580942,0.2983096241950989,0.1913122832775116,0.7393162393162394,76
77,0.4982667119443764,-0.09798844591145711,0.895,0.5417649808682894,0.28906339406967163,0.2051858901977539,0.7521367521367521,80
314,0.48915525321486175,-0.10274744886310443,0.9050632911392406,0.5275150727141987,0.2769818603992462,0.18621240556240082,0.7364672364672364,79
2718,0.5168267639566649,-0.07804701319629177,0.8845070422535212,0.49928830634979976,0.2897946536540985,0.2098698616027832,0.7592592592592593,71
