seed,cv_test,npmi_test,topic_diversity_test,intra_topic_similarity_test,inter_topic_similarity_test,test_silhouette,test_outlier_ratio,test_topic_count
42,0.5241588497925553,0.024580697510820343,0.7440251572327043,0.8407602987791363,0.6726007461547852,0.10005125403404236,0.7221567472009428,477
7,0.5295223086854645,0.02711987983501234,0.7393305439330544,0.8454502229164503,0.6777427196502686,0.08720750361680984,0.7161166764879199,478
123,0.5178149841998986,0.024914825601510118,0.748024948024948,0.8440562741187968,0.6691574454307556,0.09985736012458801,0.7262080141426046,481
2024,0.5148795895343146,0.014054245474953618,0.7422993492407809,0.8443718760797422,0.678927481174469,0.08872674405574799,0.7157483794932233,461
99,0.5158380357195563,0.021359654889956434,0.7449596774193549,0.8461502114522088,0.6808611750602722,0.086187444627285,0.7208308780200353,496
11,0.513371268252653,0.021525708898449767,0.7455696202531645,0.8430239989985004,0.683107316493988,0.08161292970180511,0.7177371832645846,474
77,0.5276120660019302,0.029512423560740964,0.7422916666666667,0.8406779409663098,0.674063503742218,0.08688730001449585,0.7209045374189746,480
314,0.5122690957359922,0.017444183665086477,0.7413793103448276,0.8410549847284953,0.66669100522995,0.10684984922409058,0.7314378314672952,493
2718,0.5226348381541899,0.02677797066361319,0.7538622129436325,0.8450161589564179,0.6817585229873657,0.05875284597277641,0.6955657041838539,479
