topic_id,term_rank,term,weight
0,1,oil,0.009505811322910736
0,2,fed,0.006450540313213248
0,3,rate,0.006211430006273018
0,4,falls,0.005706154647119253
0,5,fall,0.005610831730626403
0,6,drop,0.005580727150939633
0,7,dollar,0.005402714260971868
0,8,cut,0.005124555166935233
0,9,higher,0.0050960654494043205
0,10,lower,0.005045749562029883
1,1,stock buy,0.019309950182268693
1,2,dividend stock,0.015758412953032354
1,3,great,0.015210308082757234
1,4,buy,0.011704013164402643
1,5,best,0.011589982985389963
1,6,chase amp,0.011543766763434798
1,7,dividend,0.011302939274412255
1,8,amp best,0.011047892537565785
1,9,according,0.010915565785048278
1,10,buy according,0.01030709936722172
2,1,fined,0.017493646489395484
2,2,lawsuit,0.013574472208323515
2,3,sues,0.012568467075381473
2,4,epstein,0.012101507614535344
2,5,pay,0.011090576715285162
2,6,million,0.011022828109597507
2,7,fines,0.010099368698606564
2,8,fraud,0.00982614717303168
2,9,charges,0.009427186363525119
2,10,sec,0.008992174895780724
3,1,appoints,0.038562517877830355
3,2,head,0.03634112935534973
3,3,names,0.027120333586358507
3,4,hires,0.018647523839371273
3,5,investment banking,0.014744464103092622
3,6,banking,0.013912746369520081
3,7,chief,0.013325800095704096
3,8,memo,0.012401644737497521
3,9,director,0.011738067873200957
3,10,americas,0.01140635505767631
4,1,profit,0.03885594677666909
4,2,profit rises,0.019430083152429427
4,3,rises,0.017713931715563444
4,4,profit beats,0.017380024156785294
4,5,beats,0.017081575766124193
4,6,beat,0.013841650846280128
4,7,earnings beat,0.012924446706835974
4,8,profit jumps,0.011751722522032255
4,9,estimates,0.011740122248538667
4,10,higher,0.01127210419652378
5,1,unit,0.017623706465776434
5,2,sell,0.016678306464370074
5,3,stake,0.015926198167659066
5,4,talks,0.01468551900553303
5,5,sale,0.012845637435375316
5,6,agrees,0.010094364139356401
5,7,acquire,0.00839345558429938
5,8,business,0.008372801523565234
5,9,banamex,0.007739275297809314
5,10,mexico,0.007553498874522893
6,1,aum,0.024242792836480707
6,2,earnings beat,0.01652543152403281
6,3,beat,0.015265319149138947
6,4,estimates,0.014065225832031937
6,5,revenues,0.014047240145787834
6,6,aum rises,0.013359589555244735
6,7,rises,0.013009737444252479
6,8,rise,0.011506245348616984
6,9,profit,0.010914564617317178
6,10,cme,0.010296492048618822
7,1,present,0.053369315500104375
7,2,conference,0.05122704211610784
7,3,services conference,0.03305606104082239
7,4,financial services,0.02895448711232166
7,5,services,0.02287670749279517
7,6,speak,0.02273190596465999
7,7,forum,0.02232271850759894
7,8,global financial,0.019021612474292942
7,9,corpgov,0.017119642611167114
7,10,annual,0.014511115301914743
8,1,buys,0.05739208885487173
8,2,llc buys,0.03925841893545422
8,3,llc,0.03274274335102515
8,4,sells,0.022038499193609257
8,5,corp,0.021103638406472922
8,6,ishares,0.0182496324618497
8,7,management llc,0.01768861659542396
8,8,buys ishares,0.01578740288595573
8,9,vanguard,0.014942818362887187
8,10,bond etf,0.014226056131312358
9,1,ring,0.05500089149595603
9,2,ring nasdaq,0.0549837692765816
9,3,bell,0.05347992892445445
9,4,nasdaq stock,0.048373972197981646
9,5,closing bell,0.04704878013809083
9,6,market closing,0.04689739242215169
9,7,closing,0.04412256099057732
9,8,stock market,0.03973296228081676
9,9,opening bell,0.03434777592372547
9,10,market opening,0.03432177281405628
10,1,stake,0.02460226072557674
10,2,acquire,0.02337069000750306
10,3,blackstone,0.01697706461776258
10,4,brookfield,0.01625235160459627
10,5,billion,0.01459883591030648
10,6,completes,0.013579459009443927
10,7,blackstone real,0.01316703220995532
10,8,acquires,0.01189696489932358
10,9,majority stake,0.011644876795158226
10,10,blackstone buy,0.011335505917622833
11,1,jobs,0.044395957212083746
11,2,cut,0.028422488946013888
11,3,cuts,0.023535788939002496
11,4,layoffs,0.023089992020474757
11,5,job cuts,0.021490254206104998
11,6,000 jobs,0.01757551820176552
11,7,plans cut,0.01741663032441331
11,8,job,0.017008129873042694
11,9,lay,0.01677271177074749
11,10,workforce,0.015438523900030261
12,1,appoints,0.030310378448357735
12,2,board directors,0.02603406596387074
12,3,board,0.025056702650477367
12,4,directors,0.024199916327183706
12,5,officer,0.021529325130091165
12,6,head,0.02018917396827653
12,7,chief,0.017703057430960442
12,8,names,0.01680088100459153
12,9,executive,0.01590587035991613
12,10,vice,0.014878516775736993
13,1,roundup,0.025921003962503034
13,2,win,0.020934801761291238
13,3,ot,0.01563502434153076
13,4,spurs,0.014505195725235539
13,5,vs,0.014088476933137386
13,6,nba,0.013466772011490232
13,7,jets,0.01247325912656458
13,8,past,0.011811780267576993
13,9,sharks,0.011769475876585582
13,10,game,0.011090524526639865
14,1,foundation,0.02769122832543417
14,2,grants,0.02223761682911978
14,3,support,0.02160036009355496
14,4,grant,0.02116150968087887
14,5,donates,0.020957221046125702
14,6,awards,0.020713521290215947
14,7,million,0.0189436290311705
14,8,awards million,0.018509014058765094
14,9,relief,0.01654989457972683
14,10,homeownership,0.015190973039748286
15,1,amp 500,0.05157491791662323
15,2,500 nasdaq,0.04827250277177299
15,3,500,0.04413398766124813
15,4,dow amp,0.040446298732546036
15,5,market today,0.03916418004690708
15,6,today dow,0.03525841561459358
15,7,dow,0.02903700941111462
15,8,today,0.02298566528524208
15,9,amp,0.020996980901363763
