Metric,Mean,Std,Mean ± Std
Coherence C_v,0.5198,0.0064,0.5198 ± 0.0064
Coherence NPMI,0.023,0.0049,0.0230 ± 0.0049
Topic Diversity,0.7446,0.0043,0.7446 ± 0.0043
Intra-topic Similarity,0.8434,0.0021,0.8434 ± 0.0021
Inter-topic Similarity,0.6761,0.0058,0.6761 ± 0.0058
Silhouette (cosine),0.0885,0.0139,0.0885 ± 0.0139
Outlier Ratio,0.7185,0.0099,0.7185 ± 0.0099
Topic Count,479.8889,10.228,479.8889 ± 10.2280
