fold,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,fold_score
1,30,10,20,3,"(1, 2)",0.6953061851475508,0.16885549917044632,0.8629629629629629,0.3746948018670082,0.4880668818950653,27.0,1.0,1.0,0.8555395222061889,0.2277348196807578,0.7188577870139768,0.7604264257801847
2,30,10,20,1,"(1, 2)",0.549210111521646,0.028523347633919054,0.8446280991735537,0.4543303924432972,0.40916329622268677,121.0,1.0,0.8143256850343351,0.6726999521890589,0.45002124207553995,0.7614346989835282,0.7396963156564925
3,50,10,10,3,"(1, 2)",0.5039795013060686,0.04271170081655472,0.8259197324414715,0.5536544963785814,0.3328549265861511,598.0,0.9109546839399995,1.0,0.7939490026533308,1.0,0.21427980918434375,0.7838366991555349
