split,topic,documents
train,33,145
train,34,144
train,35,141
train,36,139
train,37,139
train,38,136
train,39,136
train,40,136
train,41,129
train,42,123
train,43,122
train,44,122
train,45,118
train,46,118
train,47,117
train,48,112
train,49,112
train,50,109
train,51,107
train,52,103
train,53,103
train,54,103
train,55,101
train,56,101
train,57,101
train,58,100
train,59,100
train,60,100
train,61,99
train,62,99
train,63,99
train,64,97
train,65,96
train,66,95
train,67,95
train,68,94
train,69,91
train,70,91
train,71,91
train,72,90
train,73,90
train,74,90
train,75,90
train,76,89
train,77,89
train,78,89
train,79,88
train,80,87
train,81,86
train,82,85
train,83,84
train,84,84
train,85,84
train,86,83
train,87,82
train,88,82
train,89,82
train,90,82
train,91,79
train,92,78
train,93,77
train,94,77
train,95,76
train,96,76
train,97,76
train,98,75
train,99,75
train,100,73
train,101,73
train,102,73
train,103,73
train,104,72
train,105,72
train,106,72
train,107,72
train,108,71
train,109,71
train,110,70
train,111,69
train,112,69
train,113,68
train,114,67
train,115,67
train,116,67
train,117,67
train,118,66
train,119,65
train,120,64
train,121,63
train,122,63
train,123,62
train,124,62
train,125,62
train,126,61
train,127,61
train,128,60
train,129,60
train,130,59
train,131,59
train,132,59
train,133,59
train,134,58
train,135,57
train,136,57
train,137,57
train,138,57
train,139,57
train,140,57
train,141,56
train,142,56
train,143,56
train,144,56
train,145,56
train,146,55
train,147,55
train,148,55
train,149,55
train,150,55
train,151,54
train,152,54
train,153,54
train,154,54
train,155,53
train,156,53
train,157,53
train,158,52
train,159,52
train,160,52
train,161,52
train,162,51
train,163,51
train,164,51
train,165,50
train,166,50
train,167,50
train,168,50
train,169,49
train,170,49
train,171,49
train,172,49
train,173,49
train,174,49
train,175,49
train,176,48
train,177,48
train,178,48
train,179,48
train,180,47
train,181,47
train,182,47
train,183,47
train,184,47
train,185,47
train,186,46
train,187,46
train,188,46
train,189,46
train,190,45
train,191,45
train,192,45
train,193,45
train,194,45
train,195,45
train,196,44
train,197,44
train,198,44
train,199,44
train,200,44
train,201,44
train,202,44
train,203,44
train,204,44
train,205,43
train,206,43
train,207,43
train,208,43
train,209,43
train,210,43
train,211,42
train,212,42
train,213,42
train,214,42
train,215,42
train,216,41
train,217,41
train,218,41
train,219,41
train,220,41
train,221,41
train,222,41
train,223,40
train,224,40
train,225,40
train,226,40
train,227,40
train,228,40
train,229,40
train,230,40
train,231,40
train,232,40
train,233,40
train,234,40
train,235,40
train,236,40
train,237,39
train,238,39
train,239,39
train,240,39
train,241,39
train,242,39
train,243,39
train,244,39
train,245,39
train,246,38
train,247,38
train,248,38
train,249,38
train,250,38
train,251,38
train,252,38
train,253,37
train,254,37
train,255,37
train,256,37
train,257,37
train,258,37
train,259,37
train,260,37
train,261,36
train,262,36
train,263,36
train,264,36
train,265,36
train,266,36
train,267,35
train,268,35
train,269,35
train,270,35
train,271,35
train,272,34
train,273,34
train,274,34
train,275,34
train,276,34
train,277,34
train,278,34
train,279,34
train,280,34
train,281,33
train,282,33
train,283,33
train,284,33
train,285,33
train,286,33
train,287,33
train,288,33
train,289,33
train,290,33
train,291,33
train,292,33
train,293,33
train,294,32
train,295,32
train,296,32
train,297,32
train,298,32
train,299,32
train,300,32
train,301,32
train,302,32
train,303,32
train,304,32
train,305,32
train,306,32
train,307,32
train,308,32
train,309,32
train,310,31
train,311,31
train,312,31
train,313,31
train,314,31
train,315,31
train,316,31
train,317,30
train,318,30
train,319,30
train,320,30
train,321,30
train,322,30
train,323,30
train,324,30
train,325,30
train,326,30
train,327,30
train,328,30
train,329,29
train,330,29
train,331,29
train,332,29
train,333,29
train,334,29
train,335,29
train,336,29
train,337,28
train,338,28
train,339,28
train,340,28
train,341,28
train,342,28
train,343,28
train,344,28
train,345,28
train,346,28
train,347,28
train,348,28
train,349,28
train,350,28
train,351,28
train,352,28
train,353,28
train,354,28
train,355,28
train,356,28
train,357,27
train,358,27
train,359,27
train,360,27
train,361,27
train,362,27
train,363,27
train,364,27
train,365,27
train,366,27
train,367,27
train,368,27
train,369,27
train,370,27
train,371,26
train,372,26
train,373,26
train,374,26
train,375,26
train,376,26
train,377,26
train,378,26
train,379,26
train,380,26
train,381,26
train,382,26
train,383,26
train,384,26
train,385,26
train,386,26
train,387,25
train,388,25
train,389,25
train,390,25
train,391,25
train,392,25
train,393,25
train,394,25
train,395,25
train,396,25
train,397,25
train,398,25
train,399,25
train,400,25
train,401,25
train,402,25
train,403,25
train,404,25
train,405,25
train,406,24
train,407,24
train,408,24
train,409,24
train,410,24
train,411,24
train,412,24
train,413,24
train,414,24
train,415,24
train,416,24
train,417,24
train,418,24
train,419,24
train,420,24
train,421,23
train,422,23
train,423,23
train,424,23
train,425,23
train,426,23
train,427,23
train,428,23
train,429,23
train,430,23
train,431,23
train,432,23
train,433,23
train,434,23
train,435,23
train,436,23
train,437,23
train,438,23
train,439,22
train,440,22
train,441,22
train,442,22
train,443,22
train,444,22
train,445,22
train,446,22
train,447,22
train,448,22
train,449,22
train,450,22
train,451,22
train,452,22
train,453,22
train,454,22
train,455,22
train,456,22
train,457,22
train,458,22
train,459,22
train,460,22
train,461,22
train,462,22
train,463,22
train,464,22
train,465,22
train,466,22
train,467,22
train,468,22
train,469,21
train,470,21
train,471,21
train,472,21
train,473,21
train,474,21
train,475,21
train,476,21
train,477,21
train,478,21
train,479,21
train,480,21
train,481,21
train,482,21
train,483,21
train,484,21
train,485,21
train,486,21
train,487,21
train,488,21
train,489,21
train,490,21
train,491,21
train,492,21
train,493,21
train,494,20
train,495,20
train,496,20
train,497,20
train,498,20
train,499,20
train,500,20
train,501,20
train,502,20
train,503,20
train,504,20
train,505,20
train,506,20
train,507,20
train,508,20
train,509,20
train,510,20
train,511,20
train,512,20
train,513,20
train,514,20
train,515,20
train,516,20
train,517,20
train,518,20
train,519,19
train,520,19
train,521,19
train,522,19
train,523,19
train,524,19
train,525,19
train,526,19
train,527,19
train,528,19
train,529,19
train,530,19
train,531,19
train,532,19
train,533,19
train,534,19
train,535,19
train,536,19
train,537,19
train,538,19
train,539,19
train,540,19
train,541,19
train,542,19
train,543,19
train,544,19
train,545,19
train,546,19
train,547,19
train,548,19
train,549,18
train,550,18
train,551,18
train,552,18
train,553,18
train,554,18
train,555,18
train,556,18
train,557,18
train,558,18
train,559,18
train,560,18
train,561,18
train,562,18
train,563,18
train,564,18
train,565,18
train,566,18
train,567,18
train,568,18
train,569,18
train,570,18
train,571,18
