Variable,Coefficient,Std_Error,t_statistic,p_value
topic_41_lag1,6.586651258450243,1.5651906546612961,4.2082101875797235,2.576812028112419e-05
topic_305_lag1,-5.96817163959063,1.9169597875888194,-3.113352548254278,0.001850400149015687
topic_24_lag1,4.838127296002991,1.916959124832606,2.523855221182908,0.011609488095131083
topic_150_lag1,-3.8448346239192386,2.3477867018606666,-1.6376422188915767,0.10150027650021896
topic_408_lag1,3.5555468173745735,1.9170327555517663,1.8547136490378877,0.06364079889232319
topic_157_lag1,3.272503096192903,1.916959938044342,1.7071317095606435,0.08780144803589264
topic_394_lag1,-3.0853911949571775,1.355495479171736,-2.2762091370769304,0.022836120973105584
topic_161_lag1,-3.0048927862764225,1.916959039548937,-1.5675310344573026,0.11699456612478315
topic_75_lag1,-2.6977773710394666,1.916960865121247,-1.4073200033057707,0.15933639866628257
topic_300_lag1,2.5686394970009827,1.1067573223902611,2.3208696658572796,0.020296375402877268
topic_452_lag1,-2.553852153377683,1.916959563441807,-1.3322410144074017,0.1827847912723222
topic_267_lag1,-2.397026037319018,1.9169599380444873,-1.2504309504580735,0.21114581520280645
topic_141_lag1,2.374264290474942,1.9169598464008843,1.23855713249949,0.21551317939145193
topic_20_lag1,2.2424260409498253,1.3554952174395116,1.654322355475144,0.09806594917548841
topic_578_lag1,-2.2341832491067883,0.5784820125922266,-3.8621481748329995,0.00011248262610039603
topic_629_lag1,1.9906866894869237,1.9169608651212038,1.0384597441226628,0.2990592005196387
topic_21_lag1,-1.9293953034081084,1.3554955848389074,-1.4233873757968791,0.1546277829183369
topic_494_lag1,1.9139311755321708,1.9169597138892736,0.9984201345833408,0.3180786886661433
topic_6_lag1,1.9010533763437856,1.5651910580988002,1.214582313454403,0.22452901654453003
topic_78_lag1,1.8813808037241546,1.3554952496072652,1.3879656194068235,0.1651513729424813
topic_5_lag1,1.8593916325915367,1.916959563441821,0.9699691470033288,0.33206479848478065
topic_460_lag1,1.7176367158448678,1.9169593652961074,0.8960214530053688,0.37024399688921494
topic_0_lag1,-1.6787600958572977,1.355495254593134,-1.2384846720553035,0.21554002969431488
topic_135_lag1,-1.6467152309610498,2.347786185448628,-0.7013906296779688,0.48306130471979525
topic_137_lag1,-1.569632539618764,1.9169599380443996,-0.8188134287355195,0.41289530283565234
topic_242_lag1,1.4738378983242315,1.9169599380445275,0.7688412621849987,0.44198981605411725
topic_1_lag1,-1.4433967346326098,1.1072446799866564,-1.3035932894705842,0.19237603453013744
topic_54_lag1,1.3760338418667906,1.1068777753994021,1.2431669263304768,0.21380996439239153
topic_30_lag1,-1.2850699387766473,1.9169598464009314,-0.6703687305654056,0.5026246946550205
topic_538_lag1,-1.154924310947625,1.91695908445621,-0.6024772882803839,0.5468581813885888
