Topic,Coefficient,Abs_Coefficient,Importance_Score,Cumulative_Importance
topic_41_lag1,6.586651258450243,6.586651258450243,0.05906360099673662,0.05906360099673662
topic_305_lag1,-5.96817163959063,5.96817163959063,0.05351759104424782,0.11258119204098443
topic_24_lag1,4.838127296002991,4.838127296002991,0.043384294836611104,0.15596548687759554
topic_150_lag1,-3.8448346239192386,3.8448346239192386,0.03447727368809188,0.19044276056568743
topic_408_lag1,3.5555468173745735,3.5555468173745735,0.031883181651253804,0.22232594221694124
topic_157_lag1,3.272503096192903,3.272503096192903,0.029345081369861466,0.2516710235868027
topic_394_lag1,-3.0853911949571775,3.0853911949571775,0.027667217726762203,0.27933824131356494
topic_161_lag1,-3.0048927862764225,3.0048927862764225,0.026945375062769235,0.30628361637633417
topic_75_lag1,-2.6977773710394666,2.6977773710394666,0.024191419883765178,0.33047503626009933
topic_300_lag1,2.5686394970009827,2.5686394970009827,0.023033419017089496,0.3535084552771888
topic_452_lag1,-2.553852153377683,2.553852153377683,0.022900818439148207,0.37640927371633703
topic_267_lag1,-2.397026037319018,2.397026037319018,0.021494532485740025,0.39790380620207705
topic_141_lag1,2.374264290474942,2.374264290474942,0.0212904241033716,0.41919423030544867
topic_20_lag1,2.2424260409498253,2.2424260409498253,0.020108208519076062,0.43930243882452474
topic_578_lag1,-2.2341832491067883,2.2341832491067883,0.02003429402908516,0.4593367328536099
topic_629_lag1,1.9906866894869237,1.9906866894869237,0.01785081974493889,0.4771875525985488
topic_21_lag1,-1.9293953034081084,1.9293953034081084,0.017301209657832526,0.49448876225638133
topic_494_lag1,1.9139311755321708,1.9139311755321708,0.017162540242557943,0.5116513024989393
topic_6_lag1,1.9010533763437856,1.9010533763437856,0.017047062868224046,0.5286983653671633
topic_78_lag1,1.8813808037241546,1.8813808037241546,0.016870655626639103,0.5455690209938024
topic_5_lag1,1.8593916325915367,1.8593916325915367,0.016673475059600627,0.562242496053403
topic_460_lag1,1.7176367158448678,1.7176367158448678,0.015402335065463329,0.5776448311188663
topic_0_lag1,-1.6787600958572977,1.6787600958572977,0.015053721926411565,0.5926985530452779
topic_135_lag1,-1.6467152309610498,1.6467152309610498,0.014766370275328152,0.607464923320606
topic_137_lag1,-1.569632539618764,1.569632539618764,0.014075156918714736,0.6215400802393207
topic_242_lag1,1.4738378983242315,1.4738378983242315,0.013216150384280874,0.6347562306236016
topic_1_lag1,-1.4433967346326098,1.4433967346326098,0.012943179389520582,0.6476994100131223
topic_54_lag1,1.3760338418667906,1.3760338418667906,0.012339125088755547,0.6600385351018778
topic_30_lag1,-1.2850699387766473,1.2850699387766473,0.011523436589940724,0.6715619716918185
topic_538_lag1,-1.154924310947625,1.154924310947625,0.01035639902685411,0.6819183707186727
topic_39_lag1,-1.140175476214803,1.140175476214803,0.010224143764559995,0.6921425144832327
topic_95_lag1,-1.1348071457150792,1.1348071457150792,0.010176005049116768,0.7023185195323495
topic_156_lag1,1.1176283964734837,1.1176283964734837,0.010021960337925042,0.7123404798702745
topic_633_lag1,-1.0999514327883153,1.0999514327883153,0.009863448054677143,0.7222039279249516
topic_8_lag1,1.0930635555657968,1.0930635555657968,0.009801683310192849,0.7320056112351444
topic_318_lag1,1.0526326284936527,1.0526326284936527,0.009439132440135225,0.7414447436752797
topic_606_lag1,1.049976547380606,1.049976547380606,0.009415314917555036,0.7508600585928347
topic_112_lag1,0.9809854856461286,0.9809854856461286,0.008796660553943693,0.7596567191467783
topic_2_lag1,0.9612734551317684,0.9612734551317684,0.008619899486832087,0.7682766186336104
topic_18_lag1,-0.9422652791247492,0.9422652791247492,0.008449450000545108,0.7767260686341555
topic_626_lag1,0.9215919931508981,0.9215919931508981,0.008264069195316585,0.7849901378294721
topic_90_lag1,-0.8938056361323798,0.8938056361323798,0.008014904295020834,0.793005042124493
topic_11_lag1,-0.8661243105461355,0.8661243105461355,0.00776668122910564,0.8007717233535986
topic_68_lag1,-0.8314305725464282,0.8314305725464282,0.007455576690866861,0.8082273000444654
topic_32_lag1,0.8172760232668154,0.8172760232668154,0.007328650485404391,0.8155559505298698
topic_26_lag1,-0.8025298164987439,0.8025298164987439,0.00719641878850874,0.8227523693183786
topic_193_lag1,0.7986820085343322,0.7986820085343322,0.00716191485238027,0.8299142841707589
topic_495_lag1,-0.7551722733114985,0.7551722733114985,0.006771755795852391,0.8366860399666113
topic_131_lag1,-0.7392125478568436,0.7392125478568436,0.006628642274385492,0.8433146822409968
topic_392_lag1,-0.7384633772088606,0.7384633772088606,0.006621924336165495,0.8499366065771623
topic_489_lag1,-0.7382485604828132,0.7382485604828132,0.006619998038735004,0.8565566046158973
topic_216_lag1,0.7192588493698585,0.7192588493698585,0.006449714130234473,0.8630063187461318
topic_9_lag1,-0.6676694902659602,0.6676694902659602,0.005987103738059718,0.8689934224841915
topic_569_lag1,-0.6516148286518296,0.6516148286518296,0.005843138908208116,0.8748365613923996
topic_42_lag1,-0.6435089058486397,0.6435089058486397,0.005770451745737849,0.8806070131381375
topic_266_lag1,0.6419478334778341,0.6419478334778341,0.00575645334928138,0.8863634664874189
topic_63_lag1,0.6367112440893179,0.6367112440893179,0.005709495978366947,0.8920729624657858
topic_509_lag1,0.5621928468914892,0.5621928468914892,0.005041277075269218,0.8971142395410551
topic_313_lag1,0.5162064000808557,0.5162064000808557,0.004628908932626735,0.9017431484736818
topic_311_lag1,0.5147899945090294,0.5147899945090294,0.0046162077874983085,0.90635935626118
topic_169_lag1,0.5024439071607403,0.5024439071607403,0.004505498361965162,0.9108648546231451
topic_441_lag1,-0.49029595179298874,0.49029595179298874,0.004396565618965214,0.9152614202421103
topic_16_lag1,0.4622499795506944,0.4622499795506944,0.00414507270563399,0.9194064929477443
topic_15_lag1,-0.44966902473814113,0.44966902473814113,0.004032257184354751,0.9234387501320991
topic_25_lag1,0.44032029351432284,0.44032029351432284,0.003948425551380265,0.9273871756834794
topic_290_lag1,0.4403202935143113,0.4403202935143113,0.003948425551380161,0.9313356012348596
topic_36_lag1,0.43483147160465196,0.43483147160465196,0.00389920636935677,0.9352348076042164
topic_46_lag1,-0.4345091127804594,0.4345091127804594,0.003896315723985883,0.9391311233282023
topic_192_lag1,0.41719021959602753,0.41719021959602753,0.003741014318671908,0.9428721376468742
topic_298_lag1,-0.3744386909912856,0.3744386909912856,0.0033576542274158902,0.94622979187429
topic_114_lag1,0.3741631354905914,0.3741631354905914,0.0033551832752572223,0.9495849751495472
topic_33_lag1,-0.36607416794584857,0.36607416794584857,0.003282648153418898,0.9528676233029661
topic_136_lag1,0.3409141375793159,0.3409141375793159,0.003057033962485657,0.9559246572654518
topic_96_lag1,0.3357799268172337,0.3357799268172337,0.0030109946377991207,0.9589356519032509
topic_316_lag1,0.3170604594240968,0.3170604594240968,0.0028431340498317227,0.9617787859530826
topic_60_lag1,-0.30342301504150276,0.30342301504150276,0.0027208448102738598,0.9644996307633565
topic_58_lag1,-0.3014738387411294,0.3014738387411294,0.0027033662211152416,0.9672029969844718
topic_13_lag1,0.29460747196715975,0.29460747196715975,0.0026417943644126882,0.9698447913488845
topic_609_lag1,0.27930967607594526,0.27930967607594526,0.0025046164758021406,0.9723494078246866
topic_211_lag1,0.2793096760759274,0.2793096760759274,0.00250461647580198,0.9748540243004886
topic_23_lag1,0.24272158670458935,0.24272158670458935,0.002176524972689652,0.9770305492731782
topic_479_lag1,0.24083751008161944,0.24083751008161944,0.002159630143201965,0.9791901794163802
topic_67_lag1,0.22170994431217503,0.22170994431217503,0.0019881100689918855,0.9811782894853721
topic_87_lag1,-0.21635713741837062,0.21635713741837062,0.0019401105563134759,0.9831184000416856
topic_147_lag1,-0.18197926752401886,0.18197926752401886,0.0016318384600866197,0.9847502385017722
topic_371_lag1,-0.1725998703731782,0.1725998703731782,0.0015477318406270787,0.9862979703423993
topic_177_lag1,0.1725470697678093,0.1725470697678093,0.0015472583687875163,0.9878452287111869
topic_122_lag1,-0.16872510011218858,0.16872510011218858,0.0015129861290858,0.9893582148402726
topic_420_lag1,0.1618172468633175,0.1618172468633175,0.0014510422562396567,0.9908092570965124
topic_34_lag1,0.14691459282599895,0.14691459282599895,0.001317407670573178,0.9921266647670856
topic_51_lag1,-0.13816931631783097,0.13816931631783097,0.0012389873167367885,0.9933656520838223
topic_209_lag1,0.11853197633911722,0.11853197633911722,0.001062896012122475,0.9944285480959448
topic_4_lag1,-0.11234271371219078,0.11234271371219078,0.0010073958612997322,0.9954359439572446
topic_28_lag1,0.10977172498046486,0.10977172498046486,0.0009843413763028304,0.9964202853335474
topic_596_lag1,0.0979495993694526,0.0979495993694526,0.000878330403105136,0.9972986157366526
topic_204_lag1,0.08510522468975128,0.08510522468975128,0.0007631527519183988,0.998061768488571
topic_102_lag1,0.08393696660419248,0.08393696660419248,0.0007526767867095026,0.9988144452752805
topic_84_lag1,-0.05227177363901509,0.05227177363901509,0.0004687297171906046,0.9992831749924711
topic_81_lag1,-0.04005317743829689,0.04005317743829689,0.0003591635260530974,0.9996423385185242
topic_253_lag1,-0.022998128439468253,0.022998128439468253,0.00020622805558101725,0.9998485665741053
topic_260_lag1,-0.01688754407808796,0.01688754407808796,0.0001514334258950389,1.0000000000000002
