,Value
Model_Specification,daily_return ~ topic_0_lag1 + topic_1_lag1 + topic_2_lag1 + topic_4_lag1 + topic_5_lag1 + topic_6_la
N_Observations,80268
N_Variables,128
R_squared,0.0016826152394343596
Adjusted_R_squared,0.00012550819075740627
F_statistic,1.0806034439725918
F_pvalue,0.25393388677978473
AIC,332357.6952933145
BIC,333528.6292089927
Residual_Std_Error,1.9166469958626544
