fold,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,fold_score
1,10,4,24,1,"(1, 2)",0.6321368161191873,0.2268032726095663,1.0,0.33182135969400406,0.6952225565910339,2.0,0.9844428377042056,0.9838565726842011,1.0,0.14174449030271302,1.0,0.822008780138224
2,10,8,32,6,"(1, 2)",0.7778226653640622,0.407715997130746,0.9666666666666667,0.47148746252059937,0.5596365928649902,3.0,1.0,1.0,0.7866666666666667,0.3679963893110543,1.0,0.8309326111955443
3,90,6,24,6,"(1, 2)",0.5680643075788815,0.06135980741223232,0.9,0.4825784699168316,0.3883531391620636,45.0,0.9514007391750705,0.8001874987710647,0.8732171156893817,0.628963278080177,0.3418334398892489,0.7191204143209886
