trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
1,1,42,10,4,8,1,"(1, 2)",53,0.4639521776792045,-0.09692582416695415,0.9037735849056604,0.414136812675233,0.44041669368743896,47.79875810001977
1,2,42,10,4,8,1,"(1, 2)",127,0.5208292493046391,-0.03386148628109691,0.862992125984252,0.48394224329574687,0.3764333724975586,53.03497989999596
1,3,42,10,4,8,1,"(1, 2)",192,0.5164315150723395,0.0019211323872432961,0.846875,0.4488491626499697,0.3967733383178711,42.21843429998262
2,1,42,10,4,8,2,"(1, 2)",49,0.45159508813265514,-0.10660554057422011,0.9081632653061225,0.41071760103754373,0.4177629053592682,39.51669519999996
2,2,42,10,4,8,2,"(1, 2)",118,0.524631840548844,-0.03263117309634462,0.8635593220338983,0.49185226990444825,0.3788488209247589,52.911819500033744
2,3,42,10,4,8,2,"(1, 2)",175,0.5256082886283958,0.016270729256176227,0.8411428571428572,0.4539289865064325,0.3954564929008484,41.97088709997479
3,1,42,10,4,8,4,"(1, 2)",46,0.4559940240816491,-0.08684692617358145,0.9217391304347826,0.41846387052819844,0.42015108466148376,38.34715759998653
3,2,42,10,4,8,4,"(1, 2)",102,0.5375620425409485,-0.01100252190410027,0.8715686274509804,0.5082573537670431,0.38011467456817627,50.94263750000391
3,3,42,10,4,8,4,"(1, 2)",149,0.5122207329558272,0.005604742077551174,0.8523489932885906,0.4584947617893869,0.40644896030426025,42.6085344000021
4,1,42,10,4,8,6,"(1, 2)",41,0.4496472978506172,-0.08859020501206442,0.9365853658536586,0.4320537291075054,0.41834530234336853,39.2420707999845
4,2,42,10,4,8,6,"(1, 2)",97,0.5516160431548596,0.005999804217208249,0.8742268041237113,0.5104635010768728,0.3804541528224945,52.99364309996599
4,3,42,10,4,8,6,"(1, 2)",138,0.5340805628767383,0.03075411263970296,0.8615942028985507,0.4598450191020966,0.4126937687397003,43.53952260001097
5,1,42,10,4,12,1,"(1, 2)",37,0.4384235954872061,-0.12019270489257831,0.9135135135135135,0.3909483454057148,0.4512482285499573,40.52051509998273
5,2,42,10,4,12,1,"(1, 2)",86,0.5103348161753382,-0.04054499957237744,0.8627906976744186,0.45085136665974135,0.4140671491622925,51.35668709996389
5,3,42,10,4,12,1,"(1, 2)",122,0.5425444173651784,0.03495488452113446,0.8418032786885246,0.4426879040082964,0.4477914273738861,41.94325100001879
6,1,42,10,4,12,2,"(1, 2)",37,0.4337039388999899,-0.12616195269192748,0.9162162162162162,0.3989566390713056,0.45324164628982544,39.394506599986926
6,2,42,10,4,12,2,"(1, 2)",79,0.5104563339278648,-0.04851049095617514,0.8683544303797468,0.4534765893691464,0.42253607511520386,49.21571949997451
6,3,42,10,4,12,2,"(1, 2)",118,0.5469488115689383,0.044775382518335904,0.838135593220339,0.44650125633115356,0.445238322019577,42.148085199994966
7,1,42,10,4,12,4,"(1, 2)",32,0.4601234164776937,-0.10263453179244104,0.9375,0.3952005539209612,0.4667954444885254,43.005134199978784
7,2,42,10,4,12,4,"(1, 2)",65,0.5395314345806651,0.005455347473818684,0.8815384615384615,0.47072748204723736,0.4342530369758606,52.08077709999634
7,3,42,10,4,12,4,"(1, 2)",108,0.5487752001692268,0.05459376034858564,0.850925925925926,0.45151563060398286,0.4420801103115082,41.94205750001129
8,1,42,10,4,12,6,"(1, 2)",33,0.44144261771403154,-0.09352708283874547,0.9393939393939394,0.41008651070296764,0.45393165946006775,39.31316219997825
8,2,42,10,4,12,6,"(1, 2)",57,0.5270838774433861,-0.0019839798675602826,0.9017543859649123,0.4492142549969933,0.45231276750564575,50.413749799947254
8,3,42,10,4,12,6,"(1, 2)",102,0.5356006361555644,0.034912520373023594,0.846078431372549,0.4445677036229445,0.45214274525642395,41.59536500001559
9,1,42,10,4,16,1,"(1, 2)",24,0.4774674874371881,-0.0752630155942773,0.925,0.3768729033569495,0.46194252371788025,35.170821799954865
9,2,42,10,4,16,1,"(1, 2)",58,0.48233664788892666,-0.06558962277799589,0.8862068965517241,0.4282283694074865,0.4602160155773163,47.843865200004075
9,3,42,10,4,16,1,"(1, 2)",99,0.516029494160197,0.01204528644288723,0.8535353535353535,0.4274844075648152,0.47224968671798706,39.037978799955454
10,1,42,10,4,16,2,"(1, 2)",23,0.46837428104273887,-0.0791710161424989,0.9304347826086956,0.38239174303801166,0.46295812726020813,36.48163349996321
10,2,42,10,4,16,2,"(1, 2)",55,0.4959085576221825,-0.043174334596419575,0.8981818181818182,0.43512347448955885,0.4604252278804779,47.4153181000147
10,3,42,10,4,16,2,"(1, 2)",97,0.5184791681581835,0.022409838063565852,0.8422680412371134,0.4362069768831134,0.462909072637558,39.26550509996014
11,1,42,10,4,16,4,"(1, 2)",20,0.4731764309426335,-0.07754778621274791,0.94,0.37976772859692576,0.48688071966171265,36.360882800014224
11,2,42,10,4,16,4,"(1, 2)",50,0.49910775065327706,-0.037798372940357775,0.904,0.44584653868029517,0.44386032223701477,47.604470400023274
11,3,42,10,4,16,4,"(1, 2)",84,0.5225394720338267,0.033446909429679886,0.8690476190476191,0.4335099011659622,0.4776361286640167,37.710020200000145
12,1,42,10,4,16,6,"(1, 2)",22,0.46465898584329446,-0.07592873119127007,0.9545454545454546,0.39070414819500665,0.45944973826408386,35.097028400050476
12,2,42,10,4,16,6,"(1, 2)",46,0.5011544807534704,-0.009319685052835017,0.9130434782608695,0.43565859430366094,0.4623267650604248,44.71306810004171
12,3,42,10,4,16,6,"(1, 2)",80,0.5189739113441023,0.03235744687325824,0.86,0.42544012337545806,0.47803643345832825,36.126022599986754
13,1,42,10,4,24,1,"(1, 2)",2,0.6321368161191873,0.2268032726095663,1.0,0.33182135969400406,0.6952225565910339,33.87324980000267
13,2,42,10,4,24,1,"(1, 2)",40,0.49776965936683354,-0.05878077402141415,0.895,0.4196423918008804,0.483053982257843,44.36073369998485
