seed,cv_test,npmi_test,topic_diversity_test,intra_topic_similarity_test,inter_topic_similarity_test,test_silhouette,test_outlier_ratio,test_topic_count
42,0.46583034354729996,-0.03122671394063055,0.7865429234338747,0.6002508248952444,0.30565395951271057,0.1414521485567093,0.5649661219609406,431
7,0.47079480691788034,-0.03276852740567972,0.7771971496437055,0.61105853001881,0.3049496114253998,0.14399448037147522,0.5440414507772021,421
123,0.46492598816856573,-0.038213889067653224,0.783649289099526,0.6075539122062944,0.3034151494503021,0.15296217799186707,0.5555998405739339,422
2024,0.47663211614779755,-0.02943794656336382,0.7880095923261391,0.6012860757333262,0.30693235993385315,0.15214860439300537,0.5502192108409725,417
99,0.4593161610779453,-0.04632477042421719,0.780281690140845,0.5985186483097259,0.30141589045524597,0.14351828396320343,0.5569948186528497,426
11,0.4636171872776259,-0.03855922384003344,0.7790094339622642,0.6018226366294058,0.31082144379615784,0.14333130419254303,0.5494220805101634,424
77,0.470885089260808,-0.03611374369913401,0.7897560975609756,0.6050722679266562,0.3047398328781128,0.14244797825813293,0.5550019928258271,410
314,0.46857166411294293,-0.04002058504750986,0.7825242718446602,0.6035108791784641,0.30176615715026855,0.13983580470085144,0.5524113192506975,412
2718,0.46367582901462134,-0.038428944939037,0.784367816091954,0.6055056330132749,0.3069809675216675,0.14737965166568756,0.55350737345556,435
