seed,cv_test,npmi_test,topic_diversity_test,intra_topic_similarity_test,inter_topic_similarity_test,test_silhouette,test_outlier_ratio,test_topic_count
42,0.4763505273065674,-0.02519204278135508,0.788,0.8351308095162032,0.6720216870307922,0.08228608220815659,0.6927062574730969,375
7,0.4675232164518386,-0.03205316217192652,0.7907103825136612,0.8306441982758457,0.6812368035316467,0.058453552424907684,0.6631127939418094,366
123,0.46036512568557875,-0.04820984832039627,0.7901041666666667,0.8339848371763383,0.6710694432258606,0.06741104274988174,0.667895575926664,384
2024,0.46668067139402997,-0.037442760748823606,0.7873315363881401,0.8326758189404264,0.679766833782196,0.07178642600774765,0.6658031088082902,371
99,0.4707563591018091,-0.03314786634239916,0.78,0.8373023966948191,0.6755733489990234,0.09168536216020584,0.6816460741331207,385
11,0.4801663977187984,-0.02190598432629867,0.7874015748031497,0.8351998113310386,0.6724691390991211,0.08560316264629364,0.6816460741331207,381
77,0.4708813976102557,-0.03416769946217001,0.7894459102902375,0.8364099571781773,0.6722060441970825,0.09234539419412613,0.6909127142287764,379
314,0.46909694827829174,-0.027533609116493975,0.790625,0.832837187420062,0.6783771514892578,0.08961977064609528,0.6784575528098844,384
2718,0.46319175003905616,-0.03558906310940523,0.7824933687002652,0.8403300864574237,0.6854378581047058,0.04359792172908783,0.6645077720207254,377
