Metric,Mean,Std,Mean ± Std
Coherence C_v,0.4694,0.0061,0.4694 ± 0.0061
Coherence NPMI,-0.0328,0.0077,-0.0328 ± 0.0077
Topic Diversity,0.7873,0.0037,0.7873 ± 0.0037
Intra-topic Similarity,0.8349,0.0029,0.8349 ± 0.0029
Inter-topic Similarity,0.6765,0.005,0.6765 ± 0.0050
Silhouette (cosine),0.0759,0.0169,0.0759 ± 0.0169
Outlier Ratio,0.6763,0.0114,0.6763 ± 0.0114
Topic Count,378.0,6.4614,378.0000 ± 6.4614
