fold,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,n_topics,cv_val_norm,npmi_val_norm,topic_diversity_norm,intra_topic_similarity_norm,inter_topic_separation_norm,fold_score
1,30,10,20,1,"(1, 2)",0.8382643092010181,0.12661362186821773,0.9571428571428572,0.704771740095956,0.8461645841598511,7.0,1.0,0.9800825129269028,0.8775510204081636,0.3130340383992141,0.7828868263843882,0.7907108796237339
2,15,5,10,3,"(1, 2)",0.4823639146316244,0.001959021278725823,0.8459807073954984,0.807919336350884,0.7019839882850647,311.0,0.6296898234833753,0.8119474040751166,0.7532887803434621,1.0,0.6376401908504069,0.7665132397504721
3,50,10,20,3,"(1, 2)",0.47090130472353037,0.0018616106352895756,0.8030612244897959,0.8130331917437251,0.7211523056030273,196.0,1.0,1.0,0.04210798243347875,0.8530701280331219,1.0,0.7790356220933201
