topic_id,term_rank,term,weight
0,1,oil,0.012911169513301275
0,2,rate,0.007358369883627238
0,3,futures,0.007166135386217718
0,4,fed,0.007068546511064323
0,5,dollar,0.006823035169494389
0,6,traders,0.005774380713457692
0,7,inflation,0.005749503199267626
0,8,lower,0.005691255339630438
0,9,data,0.0056884939010276355
0,10,higher,0.0054957130170074356
1,1,head,0.026619145692641333
1,2,appoints,0.023358418525152115
1,3,names,0.019132257866894334
1,4,hires,0.016158559403023444
1,5,chief,0.014042591602316506
1,6,board,0.013430980876618304
1,7,executive,0.011159924746206489
1,8,officer,0.011068703772293747
1,9,directors,0.010958306182567604
1,10,memo,0.009655891840537608
2,1,pay,0.01581108794209456
2,2,fined,0.015098443562264398
2,3,settle,0.013740249685791175
2,4,million,0.013404543730590055
2,5,lawsuit,0.012988256610866607
2,6,epstein,0.011117303510835263
2,7,case,0.0106072619125235
2,8,sec,0.010449775271249271
2,9,fraud,0.0097276753199416
2,10,court,0.009653649463124131
3,1,profit,0.03404408658238103
3,2,beat,0.01748841223062593
3,3,rises,0.01653303912576045
3,4,beats,0.016035249797952608
3,5,earnings beat,0.015763616585325164
3,6,profit rises,0.01507978724872918
3,7,profit beats,0.013705458223458257
3,8,estimates,0.013562796202383213
3,9,jumps,0.01092093142116462
3,10,expectations,0.010279588165192742
4,1,platform,0.010633789969256369
4,2,solution,0.00996952313765605
4,3,digital,0.009887432389794166
4,4,payments,0.009855598228896987
4,5,partnership,0.009571372791582529
4,6,launches,0.008968342302684796
4,7,solutions,0.008883746668214386
4,8,access,0.008716281751710022
4,9,collaborate,0.008499217914772782
4,10,capabilities,0.007732260849595125
5,1,jobs,0.04165920345321326
5,2,cut,0.0265440906606005
5,3,job cuts,0.025215367786050765
5,4,cuts,0.02484976381892199
5,5,job,0.02029351057957029
5,6,layoffs,0.018079064070134154
5,7,staff,0.016247333767706342
5,8,000 jobs,0.015420740699854496
5,9,plans cut,0.015124373671297067
5,10,source,0.01456616361449418
6,1,notes,0.04742031491147209
6,2,redemption,0.04300715918365991
6,3,floating rate,0.03859931332266851
6,4,floating,0.03839771303742794
6,5,senior notes,0.03689587267598998
6,6,announces redemption,0.034189132628234635
6,7,senior,0.029521470557632136
6,8,announces,0.028891473332355023
6,9,preferred,0.028049683785508706
6,10,rate senior,0.025089081417922172
7,1,profit,0.028589124565786526
7,2,profit falls,0.025522750366218795
7,3,falls,0.023979558297169575
7,4,drop,0.016138189510628623
7,5,slump,0.013970217127667222
7,6,profits,0.013683396076400425
7,7,fall,0.01252045297314008
7,8,loss,0.012161296752928602
7,9,provisions,0.012035271047213197
7,10,profit drops,0.011919193565452095
8,1,foundation,0.024450438360611
8,2,support,0.020699613531728205
8,3,million,0.01952684532602625
8,4,grant,0.019097951788012223
8,5,grants,0.01843522411092027
8,6,donates,0.018159492263792824
8,7,awards,0.018093514142476518
8,8,awards million,0.01689527611628731
8,9,homeownership,0.015085067960970812
8,10,communities,0.014094748596006873
9,1,buys,0.05998582235199756
