,Value
Model_Specification,daily_return ~ topic_2_lag1 + topic_11_lag1 + topic_17_lag1 + topic_29_lag1 + topic_33_lag1 + topic_
N_Observations,3074
N_Variables,30
R_squared,0.008715972518979709
Adjusted_R_squared,-0.0007279291882966721
F_statistic,0.9229207153081779
F_pvalue,0.5843438025780828
AIC,11919.470428432576
BIC,12100.392476155532
Residual_Std_Error,1.6735741694424862
