Variable,Coefficient,Std_Error,t_statistic,p_value
topic_416_lag1,9.282311466700081,1.9167530775976476,4.84272678374098,1.28307693427363e-06
topic_377_lag1,-6.073382571258956,1.9166798590393155,-3.168699531440309,0.0015318010434513531
topic_283_lag1,-5.969237692995025,1.9166806970212171,-3.114362085595182,0.001844080738214456
topic_12_lag1,4.812141103175766,2.7105950841386037,1.7753079872883375,0.07585084186012635
topic_29_lag1,-4.256147627783563,1.9166818809641841,-2.220581135583394,0.026382130145444053
topic_3_lag1,4.23234428576648,1.106715868772245,3.824237462558215,0.00013127670345704532
topic_120_lag1,4.184743387592507,1.9166805622296006,2.1833285473112722,0.029014514336068036
topic_19_lag1,-4.0939483072104945,1.916679633069525,-2.135958579918813,0.03268581146591168
topic_58_lag1,-3.9325665695514935,3.319425914714043,-1.1847128601724706,0.23613450949310627
topic_291_lag1,3.4268870847371593,1.916679859039355,1.7879287814161746,0.07379127575772501
topic_579_lag1,-3.379452847344822,1.9166797365363906,-1.7631807666792532,0.07787381715865793
topic_242_lag1,3.2750082655740704,1.9166802782460457,1.7086878300699326,0.08751266187484358
topic_66_lag1,-2.698165805332718,1.9166818809641573,-1.4077275066509458,0.15921565244539843
topic_103_lag1,-2.5532658501596255,1.916680119242254,-1.3321293545680648,0.18282147411494423
topic_111_lag1,2.4995819933508696,1.916681880964209,1.3041193836994098,0.1921966265720049
topic_139_lag1,2.48708806348127,2.3471889474001033,1.059602835228126,0.289328516847406
topic_102_lag1,2.3656929610816193,1.916680119242274,1.2342659254048374,0.21710744813115687
topic_22_lag1,2.3080950783990737,2.04908813856344,1.1264010732194352,0.25999916575810206
topic_616_lag1,-2.2684736026457593,0.7244707012131646,-3.131215104830437,0.0017414717349472418
topic_595_lag1,-2.2339362114664625,0.578397409003243,-3.862285993494029,0.00011241918871548795
topic_107_lag1,2.150285158210354,1.91667919609041,1.1218805747964746,0.2619165824588927
topic_101_lag1,-2.141893088520138,1.9166818809640995,-1.1175005668873732,0.26378370753344504
topic_1_lag1,2.101363646467125,1.3552974263719897,1.550481544181994,0.12102992880269975
topic_187_lag1,-1.9288571456227586,1.3552979480713319,-1.4231978646227827,0.1546826974036415
topic_327_lag1,1.9146776623423427,1.9166795180343887,0.9989555605550066,0.31781923565451364
topic_510_lag1,1.9084002816234515,1.35529745064047,1.4081043838174438,0.15910404239701342
topic_206_lag1,-1.7955185935410822,1.9166797365364288,-0.9367859216718736,0.34887151152143075
topic_61_lag1,-1.6925701634651695,1.3552969649757496,-1.2488555698163575,0.21172155274805857
topic_249_lag1,-1.5867095250566357,1.9166818809641766,-0.8278418765342791,0.4077625206159472
topic_310_lag1,-1.5671273702380943,1.9166802782460086,-0.8176258649002238,0.41357328470673665
