document_id,topic,probabilities
10,17,"[0.00398078 0.01130067 0.00771879 0.00429814 0.00752024 0.00633809
 0.00588295 0.00489503 0.00810641 0.00813882 0.00509397 0.00305968
 0.00460495 0.00379216 0.01457467 0.00732036 0.01456855 0.11894394
 0.00820302 0.00422083 0.00571051 0.00661306 0.00512193 0.00525447
 0.01815997 0.00772375 0.00785014 0.00663351 0.00584115 0.0045465
 0.00862262 0.01744917 0.00228182 0.01654263 0.00603708 0.00414188
 0.00465461 0.00599554 0.00593058 0.00389338 0.03200401 0.00591253
 0.0451835  0.00393675 0.00399183 0.00403426 0.01125027 0.01424352
 0.00667071 0.00425074 0.00421108 0.0040807  0.00624049 0.00555053
 0.01297406 0.00190428 0.00419851 0.00474738 0.04139977 0.00699013
 0.01486202 0.00764789 0.00654953 0.00719001 0.00425517 0.02371756
 0.00875648]"
11,17,"[0.00399356 0.01080516 0.00756993 0.00424756 0.00714845 0.00594244
 0.00560566 0.0048537  0.00749898 0.00821209 0.0049155  0.00299505
 0.00453291 0.00371756 0.01396952 0.00704858 0.01545083 0.38243346
 0.00809387 0.00409522 0.00558654 0.00644941 0.00493161 0.00510918
 0.01847008 0.00748827 0.00748718 0.00649688 0.0055729  0.00444681
 0.00801589 0.01591381 0.00229797 0.01712522 0.00577744 0.00402851
 0.00453658 0.00584606 0.00607436 0.00377194 0.03192955 0.00567346
 0.03998588 0.00384942 0.00384341 0.00392123 0.01031411 0.0148895
 0.0063485  0.00416181 0.00407893 0.00392665 0.00585441 0.00575906
 0.0128685  0.00191963 0.00408807 0.00462041 0.04036567 0.00656144
 0.01430055 0.00713276 0.00626126 0.00698906 0.00415934 0.01935327
 0.00805596]"
12,0,"[1.00000000e+000 6.24161681e-308 5.95142221e-308 1.07745058e-307
 6.68371048e-308 4.52798735e-308 5.54811757e-308 1.37089563e-307
 6.03390808e-308 4.41257730e-308 5.29602118e-308 4.35443627e-308
 7.52919429e-308 5.86906710e-308 6.16165482e-308 5.42794596e-308
 4.89105693e-308 5.43880221e-308 4.79262895e-308 5.94378182e-308
 7.08373393e-308 7.06028772e-308 6.06632676e-308 5.29213006e-308
 4.95615578e-308 5.23774549e-308 6.03623932e-308 5.74033527e-308
 5.49051911e-308 6.38190894e-308 4.45657503e-308 4.93084878e-308
 3.56691156e-308 4.71353838e-308 6.48221762e-308 4.29220462e-308
 4.56230017e-308 4.99326411e-308 3.69331554e-308 4.77431215e-308
 5.62029372e-308 5.32491096e-308 5.82211145e-308 6.03981884e-308
 4.61743350e-308 5.50919336e-308 5.94479581e-308 4.52962589e-308
 5.78219343e-308 4.91215987e-308 5.45613679e-308 4.87111349e-308
 5.09262177e-308 3.70813622e-308 4.76447028e-308 2.62263185e-308
 5.91497005e-308 8.10792476e-308 5.37498391e-308 5.86410373e-308
 5.52879793e-308 6.03323932e-308 5.48035432e-308 7.50878065e-308
 4.30857284e-308 5.43777490e-308 5.59902442e-308]"
13,42,"[5.91910977e-308 1.98536821e-307 1.33839007e-307 7.17199005e-308
 1.51327709e-307 1.21155937e-307 1.15036914e-307 8.13222698e-308
 1.71901065e-307 1.39614549e-307 9.46893370e-308 4.60822170e-308
 8.31563882e-308 6.90686460e-308 2.90520438e-307 1.30095948e-307
 1.99260342e-307 4.32490902e-307 1.34072115e-307 7.93541911e-308
 1.04381022e-307 1.21221189e-307 9.83483574e-308 9.67209469e-308
 2.24089644e-307 1.39690790e-307 1.50598386e-307 1.17604167e-307
 1.16172980e-307 8.32562003e-308 1.54045946e-307 3.41456276e-307
 3.13380650e-308 2.08781870e-307 1.18967278e-307 6.07531554e-308
 8.53828585e-308 1.05766373e-307 7.72682479e-308 6.22383795e-308
 3.64936948e-307 1.13624980e-307 1.00000000e+000 7.23239369e-308
 6.49890619e-308 7.53893846e-308 2.35084477e-307 1.91733119e-307
 1.26176056e-307 7.34889039e-308 7.91386510e-308 6.81820158e-308
 1.27735666e-307 6.95333270e-308 2.15783625e-307 2.59597694e-308
 7.79285471e-308 8.26609580e-308 3.82134038e-307 1.45199797e-307
 2.38434240e-307 1.63304796e-307 1.28438356e-307 1.38369118e-307
 7.73442444e-308 6.37388026e-307 1.92629180e-307]"
14,10,"[5.40272287e-308 9.41283338e-308 1.12750948e-307 6.07072168e-308
 8.46118905e-308 6.54385194e-308 1.80089322e-307 6.55517480e-308
 7.87134376e-308 5.47235420e-308 1.00000000e+000 7.26838075e-308
 8.46616909e-308 7.92685907e-308 7.46561883e-308 1.34679196e-307
 5.12343818e-308 6.34095085e-308 6.42612661e-308 9.89878720e-308
 9.36809221e-308 1.25344883e-307 1.13275846e-307 9.94353943e-308
 7.10476842e-308 8.64495043e-308 1.01077641e-307 1.05926633e-307
 1.03131505e-307 7.51860867e-308 6.25554361e-308 6.71295489e-308
 3.13968514e-308 6.60299563e-308 1.47988030e-307 6.23389587e-308
 8.69201185e-308 9.58174171e-308 3.71344316e-308 1.09831163e-307
 6.03573796e-308 1.25447439e-307 7.68922855e-308 8.47823001e-308
 8.87770335e-308 9.60877382e-308 9.62401159e-308 5.84236355e-308
 6.69954369e-308 2.34834535e-307 1.04452055e-307 1.07329080e-307
 1.05511398e-307 3.64136185e-308 6.29361301e-308 2.39596695e-308
 9.40987892e-308 7.69142646e-308 7.00402078e-308 1.31978596e-307
 9.00194177e-308 1.33259884e-307 1.01984556e-307 1.06801909e-307
 7.91136245e-308 7.32347843e-308 7.73709706e-308]"
15,17,"[5.42864564e-308 1.47257216e-307 1.02167740e-307 5.80975148e-308
 9.70094283e-308 8.14466199e-308 7.64145667e-308 6.62359146e-308
 1.02902429e-307 1.09294129e-307 6.69929346e-308 4.07160133e-308
 6.13854053e-308 5.04148246e-308 1.84147139e-307 9.56808916e-308
 2.13450950e-307 1.00000000e+000 1.08542650e-307 5.56054213e-308
 7.55059975e-308 8.73998991e-308 6.69931895e-308 6.93240598e-308
 2.49520326e-307 1.00688314e-307 1.01413879e-307 8.78546399e-308
 7.57754759e-308 6.03508742e-308 1.09454699e-307 2.13076431e-307
 3.12942928e-308 2.30228735e-307 7.84022870e-308 5.52692338e-308
 6.15938695e-308 7.91591318e-308 8.26855458e-308 5.14456125e-308
 4.60917458e-307 7.70840030e-308 5.09314648e-307 5.22214311e-308
 5.25032808e-308 5.32381771e-308 1.40308381e-307 1.96854021e-307
 8.72856827e-308 5.67122634e-308 5.54437587e-308 5.34285845e-308
 8.01164352e-308 7.86087914e-308 1.70134811e-307 2.61834625e-308
 5.54637086e-308 6.31989459e-308 5.37602956e-307 8.95333191e-308
 1.92510780e-307 9.73476025e-308 8.50492048e-308 9.45039340e-308
 5.64830064e-308 2.66283891e-307 1.10165334e-307]"
16,-1,"[0.00160951 0.00704703 0.00970244 0.00182823 0.0038807  0.00213971
 0.00363675 0.00220926 0.00310642 0.00339231 0.00335554 0.0014335
 0.00355479 0.00265874 0.00550609 0.00735413 0.00254562 0.0038442
 0.00463837 0.0027389  0.00571115 0.0062091  0.0032167  0.00445806
 0.00470994 0.02212698 0.01008081 0.00805596 0.00367004 0.00274495
 0.00238014 0.0037654  0.00077251 0.00402391 0.00414913 0.00143246
 0.00329223 0.00730055 0.00141844 0.00176089 0.00314384 0.00461784
 0.00434632 0.00262364 0.0016781  0.00250761 0.00587648 0.00367674
 0.00266259 0.00269318 0.00261655 0.00198191 0.00295951 0.00129295
 0.00423889 0.00064618 0.00283074 0.00211593 0.00513094 0.00373752
 0.0067622  0.00387652 0.00494224 0.00705907 0.00292132 0.00398185
 0.00317469]"
17,27,"[0.00436942 0.01286319 0.03449486 0.00445706 0.00777781 0.00467405
 0.00862088 0.00543474 0.00639617 0.00654264 0.00871599 0.00391693
 0.00830822 0.00601383 0.01041968 0.01598013 0.00528753 0.00755034
 0.00954532 0.00611279 0.01226075 0.0167756  0.00714565 0.0108104
 0.00909307 0.01772733 0.02090705 0.05734162 0.00790536 0.00611458
 0.00495393 0.00745831 0.0023417  0.00819978 0.00941879 0.00395828
 0.007755   0.01350447 0.00340645 0.0047572  0.00638016 0.01074302
 0.00836466 0.00589197 0.00432109 0.00558793 0.01280234 0.00722638
 0.00570708 0.00740362 0.00592577 0.00489937 0.00646964 0.00324376
 0.00805288 0.00180318 0.00627773 0.00515919 0.00936985 0.00827878
 0.01412685 0.00841947 0.0101289  0.01352959 0.00682904 0.00792658
 0.00637099]"
18,58,"[5.47382922e-308 2.09367222e-307 1.42514742e-307 5.92072465e-308
 1.09390953e-307 8.18231793e-308 8.91240007e-308 6.92078525e-308
 1.08917933e-307 1.24747281e-307 8.01119074e-308 4.34948906e-308
 7.18769548e-308 5.80628600e-308 2.11652453e-307 1.27681844e-307
 1.55414946e-307 6.00981731e-307 1.37014390e-307 6.35260777e-308
 9.22807437e-308 1.07936682e-307 7.72937810e-308 8.29090622e-308
 4.97052867e-307 1.38692501e-307 1.30295038e-307 1.14457484e-307
 8.62657773e-308 6.86341476e-308 1.09133070e-307 2.26005519e-307
 3.09134936e-308 3.46673812e-307 9.27320049e-308 5.58159544e-308
 7.12862495e-308 1.04551712e-307 7.22274309e-308 5.44077837e-308
 2.65001953e-307 9.19511886e-308 3.36937001e-307 5.99029844e-308
 5.44556080e-308 6.06222690e-308 1.82557620e-307 2.39591383e-307
 9.16129026e-308 6.68938821e-308 6.34769808e-308 5.74128238e-308
 8.86846301e-308 6.87494348e-308 2.06811999e-307 2.57132435e-308
 6.41273161e-308 6.61378859e-308 1.00000000e+000 1.02148324e-307
 3.35286970e-307 1.10787369e-307 1.00467326e-307 1.16848813e-307
 6.48975654e-308 2.72386176e-307 1.15114519e-307]"
19,30,"[0.00520377 0.01028536 0.00819142 0.00587907 0.01101151 0.01558329
 0.00882857 0.00616608 0.01457719 0.00908553 0.00752295 0.005113
 0.00598272 0.00551219 0.0118325  0.00915535 0.01109643 0.01330559
 0.00874932 0.0066133  0.00713015 0.00774347 0.00767323 0.00692146
 0.01167454 0.0089274  0.00924481 0.00747411 0.00852841 0.00626825
 0.27973559 0.01511768 0.00330864 0.01145321 0.00858763 0.00702748
 0.00644915 0.00762542 0.00813286 0.00647672 0.01295701 0.00802449
 0.01682453 0.00582634 0.00706626 0.00645949 0.01173871 0.01086509
 0.01015143 0.00605462 0.00657566 0.00768718 0.01146639 0.00739162
 0.01125667 0.00283015 0.00634575 0.0068067  0.01303467 0.01061369
 0.01114215 0.01157167 0.00899932 0.00875645 0.00600583 0.01656288
 0.01802545]"
