Variable,Coefficient,Std_Error,t_statistic,p_value
topic_179_lag1,5.626480942753829,1.1068484373319212,5.0833345858233,3.7169718693972713e-07
topic_323_lag1,5.626480942753828,1.1068484373319214,5.083334585823298,3.716971869397308e-07
topic_160_lag1,3.292582790391218,1.9171297105671312,1.717454365368526,0.0859000464892471
topic_39_lag1,2.7578590948066104,1.9171297105669223,1.438535472902912,0.1502860826327435
topic_253_lag1,2.3805910708141167,1.9171297105667933,1.241747523755345,0.21433336142619844
topic_81_lag1,-2.23078026484551,1.9171297105663414,-1.1636042426083486,0.24458789336676623
topic_34_lag1,1.9985187654340482,1.9171297105667504,1.0424535984282655,0.29720457040606885
topic_197_lag1,-1.9784148461926319,1.9171297105668432,-1.031967130490961,0.3020906280268448
topic_251_lag1,1.633864605751322,0.8573879025269501,1.9056305797362998,0.05670172403088971
topic_454_lag1,-1.6325939253554114,0.7246340901181028,-2.252990781994989,0.024262421058481396
topic_333_lag1,1.622159688817076,1.1068691886078557,1.4655387515640557,0.14277790843789512
topic_90_lag1,1.6105479204378175,1.9171297105666516,0.8400829174786422,0.4008644018756149
topic_60_lag1,-1.5727325459780155,1.9171297105671632,-0.8203579222152573,0.41201453380458825
topic_17_lag1,-1.4055847362829943,1.212503837455713,-1.1592414744290107,0.2463612218858849
topic_263_lag1,-1.3580691633787958,1.1068691886082174,-1.2269463974206731,0.2198463403621712
topic_96_lag1,-1.2455867896190447,1.9171297105658325,-0.6497144052143531,0.5158785781494367
topic_15_lag1,-1.1975872347636733,1.9171297105663734,-0.6246772078921424,0.5321847122500712
topic_43_lag1,-1.1788787446116926,1.9171297105666516,-0.6149186140687622,0.5386102141246263
topic_239_lag1,-1.1641756110147492,0.4950440688562735,-2.3516605576234975,0.018692226999289154
topic_54_lag1,1.1503631946255861,1.917129710566553,0.600044529217394,0.5484782549339895
topic_27_lag1,-1.0777970122849265,1.3556238904291504,-0.7950560770537378,0.426583236006184
topic_18_lag1,0.9947670710100099,1.9171297105667953,0.518883550511514,0.6038433812604919
topic_404_lag1,0.9902798682187431,0.7826893822438247,1.265227165059778,0.20579358346272092
topic_48_lag1,-0.9830873463945758,1.3556238904292115,-0.7251918126666499,0.4683364809709592
topic_331_lag1,0.9180833312225993,1.1068691886077806,0.8294415823222652,0.40685704890336916
topic_2_lag1,0.9096719892566184,1.1560759974709205,0.7868617558418775,0.43136512271424116
topic_315_lag1,-0.9022408544837196,0.7826893822438581,-1.1527444666454074,0.2490187202417304
topic_332_lag1,0.8944122241529113,1.9171297105671734,0.46653714624677317,0.6408323324551239
topic_14_lag1,-0.8761649128467873,1.355623890428765,-0.6463185836667932,0.5180749046963713
topic_465_lag1,0.8755440378032099,1.9171297105666336,0.45669525279248374,0.647891340413619
topic_9_lag1,-0.8173876719872819,1.9171297105666842,-0.426360129667841,0.6698465935686464
topic_178_lag1,-0.8142851758940881,1.1068691886081987,-0.7356652297079368,0.4619366064560788
topic_47_lag1,0.8090097927163767,1.9171297105671228,0.4219901179649741,0.6730333616918306
topic_395_lag1,-0.6935630180568036,1.355623890428664,-0.5116190581721682,0.6089190533262318
topic_94_lag1,0.6823605427921935,1.9171297105655294,0.3559282082123205,0.721895266489246
topic_171_lag1,-0.6645444194102731,1.106869188607727,-0.6003820742776017,0.5482533282062692
topic_19_lag1,0.6644587306585452,0.45191980999858167,1.4703022880555525,0.14148382498269216
topic_46_lag1,0.6553967739859019,1.1068691886078936,0.5921176420225345,0.5537734833340375
topic_213_lag1,0.6553676698897558,0.7826893822438131,0.8373279167413111,0.40241076671985304
topic_4_lag1,-0.6552957903092606,1.0011974392425707,-0.6545120518935877,0.51278384221603
