Topic,Coefficient,Abs_Coefficient,Importance_Score,Cumulative_Importance
topic_179_lag1,5.626480942753829,5.626480942753829,0.08072440300056147,0.08072440300056147
topic_323_lag1,5.626480942753828,5.626480942753828,0.08072440300056145,0.16144880600112294
topic_160_lag1,3.292582790391218,3.292582790391218,0.04723943487741818,0.2086882408785411
topic_39_lag1,2.7578590948066104,2.7578590948066104,0.03956763228259865,0.24825587316113976
topic_253_lag1,2.3805910708141167,2.3805910708141167,0.034154882054195715,0.2824107552153355
topic_81_lag1,-2.23078026484551,2.23078026484551,0.03200551231529641,0.3144162675306319
topic_34_lag1,1.9985187654340482,1.9985187654340482,0.02867320370699089,0.3430894712376228
topic_197_lag1,-1.9784148461926319,1.9784148461926319,0.02838476820081098,0.3714742394384338
topic_251_lag1,1.633864605751322,1.633864605751322,0.023441427461490614,0.3949156668999244
topic_454_lag1,-1.6325939253554114,1.6325939253554114,0.023423196720569594,0.418338863620494
topic_333_lag1,1.622159688817076,1.622159688817076,0.023273494353513943,0.44161235797400794
topic_90_lag1,1.6105479204378175,1.6105479204378175,0.023106897669061714,0.46471925564306965
topic_60_lag1,-1.5727325459780155,1.5727325459780155,0.02256435188270451,0.48728360752577415
topic_17_lag1,-1.4055847362829943,1.4055847362829943,0.0201662442044302,0.5074498517302044
topic_263_lag1,-1.3580691633787958,1.3580691633787958,0.019484527462660918,0.5269343791928653
topic_96_lag1,-1.2455867896190447,1.2455867896190447,0.01787071723878806,0.5448050964316534
topic_15_lag1,-1.1975872347636733,1.1975872347636733,0.017182056697782815,0.5619871531294363
topic_43_lag1,-1.1788787446116926,1.1788787446116926,0.016913641730429994,0.5789007948598662
topic_239_lag1,-1.1641756110147492,1.1641756110147492,0.01670269252542481,0.595603487385291
topic_54_lag1,1.1503631946255861,1.1503631946255861,0.01650452264297878,0.6121080100282698
topic_27_lag1,-1.0777970122849265,1.0777970122849265,0.015463399104646386,0.6275714091329161
topic_18_lag1,0.9947670710100099,0.9947670710100099,0.01427214963472304,0.6418435587676391
topic_404_lag1,0.9902798682187431,0.9902798682187431,0.014207770714727945,0.656051329482367
topic_48_lag1,-0.9830873463945758,0.9830873463945758,0.0141045779666796,0.6701559074490466
topic_331_lag1,0.9180833312225993,0.9180833312225993,0.013171950562306139,0.6833278580113528
topic_2_lag1,0.9096719892566184,0.9096719892566184,0.013051271124208718,0.6963791291355614
topic_315_lag1,-0.9022408544837196,0.9022408544837196,0.012944654941862713,0.7093237840774241
topic_332_lag1,0.8944122241529113,0.8944122241529113,0.012832335800254231,0.7221561198776784
topic_14_lag1,-0.8761649128467873,0.8761649128467873,0.012570537470794093,0.7347266573484724
topic_465_lag1,0.8755440378032099,0.8755440378032099,0.012561629635196555,0.747288286983669
topic_9_lag1,-0.8173876719872819,0.8173876719872819,0.011727247015058274,0.7590155339987272
topic_178_lag1,-0.8142851758940881,0.8142851758940881,0.011682734797300353,0.7706982687960275
topic_47_lag1,0.8090097927163767,0.8090097927163767,0.011607047673865164,0.7823053164698927
topic_395_lag1,-0.6935630180568036,0.6935630180568036,0.009950706515412203,0.7922560229853048
topic_94_lag1,0.6823605427921935,0.6823605427921935,0.009789982052454791,0.8020460050377596
topic_171_lag1,-0.6645444194102731,0.6645444194102731,0.009534370074306697,0.8115803751120663
topic_19_lag1,0.6644587306585452,0.6644587306585452,0.009533140678277903,0.8211135157903442
topic_46_lag1,0.6553967739859019,0.6553967739859019,0.009403126722866185,0.8305166425132103
topic_213_lag1,0.6553676698897558,0.6553676698897558,0.009402709159772989,0.8399193516729834
topic_4_lag1,-0.6552957903092606,0.6552957903092606,0.009401677887067642,0.8493210295600511
topic_207_lag1,-0.644489246437807,0.644489246437807,0.009246633941944903,0.858567663501996
topic_458_lag1,-0.6442921399881208,0.6442921399881208,0.009243806010838344,0.8678114695128343
topic_61_lag1,0.6168805787020124,0.6168805787020124,0.008850526100598147,0.8766619956134324
topic_277_lag1,-0.6137920981233745,0.6137920981233745,0.00880621496661831,0.8854682105800507
topic_243_lag1,0.6014625571208,0.6014625571208,0.008629320234932496,0.8940975308149831
topic_298_lag1,-0.5992926331191537,0.5992926331191537,0.008598187841279751,0.9026957186562629
topic_412_lag1,-0.599292633119042,0.599292633119042,0.008598187841278148,0.911293906497541
topic_106_lag1,0.5726844189792273,0.5726844189792273,0.008216433735434441,0.9195103402329755
topic_249_lag1,0.5257296154058312,0.5257296154058312,0.007542762478917956,0.9270531027118935
topic_467_lag1,-0.5256394661353889,0.5256394661353889,0.007541469086811694,0.9345945717987052
topic_146_lag1,-0.5116923702993109,0.5116923702993109,0.007341366927679886,0.941935938726385
topic_73_lag1,0.4744784765705094,0.4744784765705094,0.006807450722302405,0.9487433894486874
topic_287_lag1,-0.4089927091291439,0.4089927091291439,0.005867911508445137,0.9546113009571325
topic_266_lag1,0.37632695678929473,0.37632695678929473,0.005399248522996917,0.9600105494801294
topic_118_lag1,-0.31882495012481304,0.31882495012481304,0.004574254142574703,0.9645848036227042
topic_262_lag1,-0.2960720902100307,0.2960720902100307,0.004247813681500778,0.9688326173042049
topic_1_lag1,-0.21261526836850267,0.21261526836850267,0.0030504396589053676,0.9718830569631103
topic_93_lag1,-0.2086239242400492,0.2086239242400492,0.0029931749360319784,0.9748762318991423
topic_130_lag1,0.2014097644618902,0.2014097644618902,0.002889671743331655,0.977765903642474
topic_59_lag1,0.19617503728302435,0.19617503728302435,0.002814567920767575,0.9805804715632416
