Topic,Count,Name,Representation,Representative_Docs
0,476,0_federal_reserve_billion_treasury,"['federal', 'reserve', 'billion', 'treasury', 'announces', 'board', 'program', 'bank', 'financial', 'credit']","[""The Federal Reserve announces additional actions under the authority of Section 13(3) of the Federal Reserve Act, with approval of the Treasury Secretary, to provide up to $2.3 trillion in loans to support the economy. This funding will assist households and employers of all sizes and bolster the ability of state and local governments to deliver critical services during the coronavirus pandemic.These actions will:Supply liquidity to financial institutions via term financing backed by the SBA's Paycheck Protection Program's (PPP).Ensure credit flows to small and mid-sized businesses employing up to 10,000 workers or with revenues of less than $2.5 billion via the Main Street Lending Program.Expand flow of credit to households and businesses via capital markets by expanding the size and scope of the Primary and Secondary Market Corporate Credit Facilities (PMCCF and SMCCF) and Term Asset-Backed Securities Loan Facility (TALF).Establish a Municipal Liquidity Facility for up to $500 billion in lending to states and municipalities by purchasing up to $500 billion of short-term notes directly from U.S. states and some local governments."", 'The U.S. Treasury Department and the Federal Reserve Board announce the launch of the Term Asset-Backed Securities Loan Facility (TALF). Under the program, the Federal Reserve Bank of New York will lend up to $200 billion to eligible owners of certain AAA-rated asset-backed securities backed by newly and recently originated auto loans, credit card loans, student loans and small business loans that are guaranteed by the Small Business Administration. The Federal Reserve and Treasury expect to include asset-backed securities backed by other types of loans in future monthly fundings. Subscriptions for funding in March will be accepted on March 17, 2009. Securitizations will be funded by the program on March 25, 2009. The program will hold monthly fundings through December 2009 or longer if extended by the Federal Reserve Board.', 'The Federal Reserve Board announces the creation of the Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (AMLF) to extend non-recourse loans at the primary credit rate to U.S. depository institutions and bank holding companies to finance their purchase of high-quality asset-backed commercial paper from money market mutual funds. The Federal Reserve Board also announces plans to purchase federal agency discount notes (short-term debt obligations issued by Fannie Mae, Freddie Mac, and Federal Home Loan Banks) from primary dealers.']"
1,32,1_purchases_total_stock_preferred,"['purchases', 'total', 'stock', 'preferred', 'purchase', 'capital', 'banks', 'program', 'treasury', 'million']","['The U.S. Treasury purchases a total of $45.5 million in preferred stock from 7 U.S. banks under the Capital Purchase Program.', 'The U.S. Treasury purchases a total of $22.8 million in preferred stock from 5 U.S. banks under the Capital Purchase Program.', 'The U.S. Treasury Department purchases a total of $3 billion in preferred stock in 23 U.S. banks under the Capital Purchase Program.']"
2,12,2_died_people_cdc_united,"['died', 'people', 'cdc', 'united', 'reports', 'states', '000', 'covid', '19', 'china']","['The CDC reports that over 250,000 people have died from COVID-19 in the United States.', 'The CDC reports that over 500,000 people have died from COVID-19 in the United States.', 'The CDC reports that over 100,000 people have died from COVID-19 in the United States.']"
