topic,word,weight
0,commentary,0.15617951821277415
0,fund,0.1499647643970177
0,international,0.09400754649630504
0,2025,0.08225294935740254
0,q2,0.08176255219277785
0,q1,0.07772720334677143
0,portfolio,0.062119029955666136
0,tracking,0.04172947817707261
0,templeton,0.04006226991131045
0,equity,0.03829102664418642
1,stablecoin,0.09014238852470104
1,crypto,0.07806951720317017
1,blockchain,0.045228194001865764
1,banks,0.03769253400128167
1,swift,0.03618244447292324
1,stablecoins,0.03268926286074628
1,digital,0.031153053632616886
1,banking,0.029259499238081646
1,major,0.02777034828471871
1,banco,0.026726379462014938
2,loan,0.07765019001809574
2,financing,0.05917080745632875
2,energy,0.057183563824179405
2,billion,0.05505308642743132
2,million,0.05296355195993871
2,debt,0.04652018778454212
2,secures,0.04422755481477125
2,deal,0.03967712715619317
2,loans,0.037835041582492866
2,tied,0.0369517761232939
3,dividend,0.19329344092936704
3,tsx,0.09050268161170784
3,yield,0.07991644545973883
3,10,0.07962978991763768
3,stocks,0.07887180079229321
3,high,0.0638893804858
3,portfolio,0.06383128526854669
3,safer,0.04554145167779183
3,buys,0.044756188276083464
3,consider,0.04012877706617417
4,ai,0.18806697990674257
4,technology,0.040202716081025824
4,innovation,0.029313038351379224
4,generative,0.0292506488850625
4,driven,0.025050130439410897
4,mistral,0.021147173803837023
4,workers,0.021147173803837023
4,agents,0.021147173803837023
4,cycle,0.021147173803837023
4,finances,0.021147173803837023
5,afternoon,0.17064496900176163
5,update,0.16118428236897606
5,sector,0.15365997619277635
5,bell,0.09308149505041524
5,financial,0.09301594455268797
5,stocks,0.08345145374152314
5,pre,0.08165821024864646
5,late,0.06731278733680829
5,futures,0.05285416781072437
5,funds,0.04659011098670469
6,valuation,0.14578522976172612
6,recent,0.12046241413353319
6,assessing,0.11996572845468459
6,share,0.09839563710247702
6,dbk,0.08420801683056132
6,xtra,0.0769942101546122
6,price,0.07202411637653701
6,sehk,0.06947164520377559
6,returns,0.05656501725539864
6,strong,0.04889440746165602
7,etf,0.1972476470528175
7,etfs,0.1468472535452052
7,spdr,0.050943210818339586
7,managed,0.0446798367355037
7,management,0.04359411627175485
7,actively,0.040635134388623755
7,investment,0.029537521898861302
7,ucits,0.029377749971807678
7,russell,0.029377749971807678
7,growth,0.02887210765632412
8,stocks,0.1318285813242615
8,watch,0.07960240582041903
8,financials,0.07179199062210032
8,session,0.04866767945768244
8,week,0.04667457226164107
8,delta,0.043748263517399744
8,amd,0.043748263517399744
8,biggest,0.038394845769172604
8,l3harris,0.036932028535986795
8,unpopular,0.036932028535986795
